SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
100,1.6075504,100003.71,0.1005744,-0.19002619
100,1.6075481,79433.273,0.098954648,-0.14723705
100,1.6075486,63093.824,0.098852605,-0.11214607
100,1.6075516,50122.477,0.097760856,-0.085453145
100,1.6075488,39814.059,0.10139442,-0.061911184
100,1.6075482,31621.139,0.10328414,-0.042334829
100,1.6075487,25116.91,0.10716137,-0.027143966
100,1.6075495,19948.785,0.10845508,-0.013487224
100,1.6075498,15847.683,0.11089631,-0.0040188599
100,1.6075503,12590.93,0.11449753,0.0072067217
100,1.6075534,10002.226,0.11838193,0.018158568
100,1.6075569,7943.999,0.12145267,0.026153157
100,1.6075443,6307.7339,0.12543619,0.034858268
100,1.6075392,5011.604,0.13157211,0.043459978
100,1.6075431,3981.2744,0.13530993,0.053028129
100,1.6075399,3161.0117,0.13902354,0.06376233
100,1.6075437,2510.8032,0.14322366,0.075372577
100,1.6075397,1995.6388,0.14909522,0.091508321
100,1.6075453,1585.5074,0.15358616,0.10830685
100,1.6075343,1258.7913,0.156927,0.13154212
100,1.6075356,1000.3202,0.16203429,0.15839481
100,1.6075332,794.23785,0.16606724,0.1933378
100,1.6075331,631.00964,0.17248239,0.23686121
100,1.6075367,501.44418,0.18022102,0.28989631
100,1.6075325,398.08914,0.19067247,0.35914323
100,1.607525,316.31589,0.19931324,0.44578755
100,1.607523,251.04433,0.21678446,0.55552971
100,1.6075295,199.55299,0.23985888,0.68720168
100,1.6075184,158.42841,0.27211836,0.8556937
100,1.6075182,125.84567,0.32027692,1.0621421
100,1.6075019,100.03201,0.39175269,1.31398
100,1.6074868,79.415512,0.50097638,1.6230042
100,1.6074501,63.082298,0.66094398,1.9902946
100,1.6074051,50.144421,0.89712852,2.4136474
100,1.6073337,39.808914,1.2375655,2.888361
100,1.607271,31.629555,1.7171633,3.3758659
100,1.6071651,25.104433,2.3595543,3.8287995
100,1.6070794,19.955299,3.1463418,4.1664133
100,1.6070036,15.857577,4.0265026,4.328423
100,1.6069274,12.600809,4.9172645,4.2902679
100,1.6068695,10.003201,5.7351103,4.0822649
100,1.6068846,7.9395323,6.4264259,3.7448661
100,1.6068746,6.3105812,6.9620934,3.3619571
100,1.6069103,5.0080128,7.3661008,2.9706059
100,1.6070645,3.9778516,7.6599212,2.6054945
100,1.6071818,3.1629555,7.870811,2.2925327
100,1.6073279,2.5136747,8.0155544,2.0280807
100,1.607509,1.99553,8.1196556,1.8153037
100,1.6075583,1.5853286,8.171629,1.6488409
100,1.6078202,1.2596742,8.21908,1.5265636
100,1.6078917,1.0000639,8.2234259,1.4409069
100,1.6081988,0.79363066,8.2436934,1.3897122
100,1.6084938,0.63090527,8.2444944,1.3675771
100,1.6086121,0.50154078,8.2047176,1.3669323
100,1.6088833,0.39774463,8.1668091,1.3811185
100,1.6093106,0.3161931,8.1550817,1.4258342
100,1.6097178,0.25122195,8.1226025,1.4838866
100,1.6099677,0.19933917,8.0424194,1.5433122
100,1.6100523,0.15860692,7.8728666,1.5918843
100,1.6100922,0.12593903,7.6197848,1.6193705
100,1.6101866,0.10007046,7.3238273,1.6318394
100,1.6084584,100003.71,0.10046748,-0.18601689
100,1.6087052,79433.273,0.098954506,-0.14249566
100,1.6087227,63093.824,0.098049536,-0.10904514
100,1.6087337,50122.477,0.098257445,-0.082508363
100,1.6087459,39814.059,0.098066032,-0.058620784
100,1.6087441,31621.139,0.10124105,-0.04035376
100,1.6087493,25116.91,0.10334171,-0.025543572
100,1.6087481,19948.785,0.10609488,-0.014819297
100,1.6087432,15847.683,0.10852178,-0.0015142809
100,1.6087458,12590.93,0.11341917,0.0073251077
100,1.6087444,10002.226,0.1160343,0.016976951
100,1.6087366,7943.999,0.12062227,0.025897823
100,1.6087245,6307.7339,0.1250799,0.034771118
100,1.6087106,5011.604,0.1294374,0.043763746
100,1.6087092,3981.2744,0.13315445,0.052436825
100,1.6086935,3161.0117,0.13750844,0.061973572
100,1.6086953,2510.8032,0.14472204,0.076048046
100,1.6086835,1995.6388,0.14754659,0.088260219
100,1.6086848,1585.5074,0.15082225,0.10856796
100,1.6086757,1258.7913,0.15573354,0.1304801
100,1.6086624,1000.3202,0.16306198,0.15700279
100,1.6086563,794.23785,0.16953328,0.19205604
100,1.6086438,631.00964,0.17574139,0.23678625
100,1.6086435,501.44418,0.1841938,0.29178098
100,1.6086316,398.08914,0.1951129,0.35863712
100,1.6086234,316.31589,0.21103248,0.44530883
100,1.6086223,251.04433,0.2316917,0.5537042
100,1.6086102,199.55299,0.2603552,0.68285251
100,1.6086051,158.42841,0.30568936,0.8469013
100,1.608587,125.84567,0.3702687,1.0450454
100,1.6085625,100.03201,0.46704188,1.2828671
100,1.6085545,79.415512,0.61100537,1.5632395
100,1.6085333,63.082298,0.82136017,1.8784156
100,1.6085039,50.144421,1.1130917,2.2159295
100,1.6084656,39.808914,1.5142529,2.5512772
100,1.6084373,31.629555,2.0156896,2.8389859
100,1.6083846,25.104433,2.6090643,3.0295823
100,1.6083562,19.955299,3.2354281,3.0923035
100,1.6083372,15.857577,3.8432724,3.0280254
100,1.608327,12.600809,4.3882127,2.8705904
100,1.6083333,10.003201,4.8509426,2.6618953
100,1.6083648,7.9395323,5.2334113,2.4366331
100,1.6083989,6.3105812,5.546371,2.2229965
100,1.6084404,5.0080128,5.8114028,2.0283492
100,1.6085665,3.9778516,6.0395136,1.8570479
100,1.60866,3.1629555,6.2372947,1.709367
100,1.6087642,2.5136747,6.4092073,1.5814142
100,1.6088552,1.99553,6.557282,1.471824
100,1.6088443,1.5853286,6.6845603,1.3834295
100,1.6090269,1.2596742,6.7694168,1.307541
100,1.6090232,1.0000639,6.8521323,1.2580974
100,1.6091868,0.79363066,6.8952579,1.2226954
100,1.6093844,0.63090527,6.9141912,1.2053872
100,1.6093802,0.50154078,6.9521394,1.2159885
100,1.6094602,0.39774463,6.9563651,1.2349869
100,1.6096857,0.3161931,6.9477839,1.2701439
100,1.6099288,0.25122195,6.9205208,1.3135529
100,1.6100404,0.19933917,6.8996148,1.3659985
100,1.6099997,0.15860692,6.8647175,1.4240447
100,1.609926,0.12593903,6.7786193,1.4683427
100,1.6099392,0.10007046,6.6597729,1.4997108
90,1.467966,100003.71,0.10789981,-0.20010842
90,1.4679718,79433.273,0.10811248,-0.15605929
90,1.4679683,63093.824,0.10690331,-0.12302614
90,1.4679772,50122.477,0.10550734,-0.096417524
90,1.4679755,39814.059,0.10444865,-0.075528033
90,1.4679809,31621.139,0.1070331,-0.057077453
90,1.4679725,25116.91,0.10647993,-0.044741649
90,1.4679739,19948.785,0.10608875,-0.036422927
90,1.4679757,15847.683,0.10816141,-0.025461385
90,1.4679749,12590.93,0.10674143,-0.019721638
90,1.4679819,10002.226,0.11080295,-0.013874623
90,1.467979,7943.999,0.10910789,-0.0096730804
90,1.467968,6307.7339,0.11127927,-0.0047943224
90,1.4679737,5011.604,0.11126366,-0.001438185
90,1.4679744,3981.2744,0.11207182,0.0030071861
90,1.4679713,3161.0117,0.11330611,0.0056731016
90,1.46797,2510.8032,0.11486062,0.0078019793
90,1.4679718,1995.6388,0.11819102,0.0086025884
90,1.4679722,1585.5074,0.11968572,0.0099640638
90,1.4679706,1258.7913,0.12091672,0.011434364
90,1.4679728,1000.3202,0.12270359,0.012577586
90,1.4679724,794.23785,0.12397456,0.016701233
90,1.4679657,631.00964,0.12674102,0.017336588
90,1.4679705,501.44418,0.12989382,0.019585401
90,1.4679685,398.08914,0.13217741,0.021074252
90,1.467976,316.31589,0.13306248,0.023060441
90,1.4679722,251.04433,0.1377933,0.026437389
90,1.4679722,199.55299,0.14118123,0.028647661
90,1.4679725,158.42841,0.14342162,0.030851612
90,1.4679765,125.84567,0.14685188,0.035444897
90,1.4679738,100.03201,0.15103287,0.041063715
90,1.4679776,79.415512,0.15515171,0.045846742
90,1.4679759,63.082298,0.16087608,0.051688299
90,1.4679742,50.144421,0.168357,0.059301376
90,1.4679745,39.808914,0.17673221,0.067650154
90,1.4679807,31.629555,0.18603578,0.074991293
90,1.4679768,25.104433,0.19625172,0.085234195
90,1.4679803,19.955299,0.20961992,0.094570249
90,1.4679834,15.857577,0.22551398,0.10414386
90,1.4679796,12.600809,0.24227631,0.11106097
90,1.4679751,10.003201,0.26171106,0.11925782
90,1.4679788,7.9395323,0.28255597,0.12230668
90,1.4679775,6.3105812,0.30132931,0.12513368
90,1.4679714,5.0080128,0.32371452,0.12549496
90,1.4679751,3.9778516,0.34402683,0.12408108
90,1.4679766,3.1629555,0.36297408,0.12276668
90,1.467978,2.5136747,0.37991089,0.119744
90,1.4679866,1.99553,0.39450648,0.11663416
90,1.467979,1.5853286,0.40909046,0.11518375
90,1.4679878,1.2596742,0.42168269,0.11295257
90,1.4679782,1.0000639,0.43428606,0.11230074
90,1.467995,0.79363066,0.44441834,0.11110768
90,1.4679973,0.63090527,0.45594192,0.11180499
90,1.4679915,0.50154078,0.46682891,0.1139343
90,1.4680037,0.39774463,0.47692505,0.11572102
90,1.4680177,0.3161931,0.48653346,0.11818304
90,1.4680307,0.25122195,0.49745741,0.12170079
90,1.4680371,0.19933917,0.50944966,0.12686485
90,1.4680415,0.15860692,0.52109534,0.13183208
90,1.4680589,0.12593903,0.53360492,0.13719006
90,1.4680874,0.10007046,0.54619825,0.14229223
90,1.4679365,100003.71,0.10868739,-0.19829547
90,1.4680099,79433.273,0.10760586,-0.15539637
90,1.4680178,63093.824,0.10545488,-0.12467377
90,1.4680326,50122.477,0.10555241,-0.095148116
90,1.4680285,39814.059,0.10478214,-0.072997376
90,1.4680407,31621.139,0.1071385,-0.057257276
90,1.4680512,25116.91,0.10680777,-0.045202248
90,1.4680504,19948.785,0.10624161,-0.033988003
90,1.4680558,15847.683,0.1075809,-0.028142743
90,1.468057,12590.93,0.10761704,-0.01890832
90,1.4680578,10002.226,0.10914729,-0.012753805
90,1.4680657,7943.999,0.10893543,-0.0084721474
90,1.4680532,6307.7339,0.11010781,-0.0035382989
90,1.4680556,5011.604,0.11218227,-0.00035626575
90,1.4680591,3981.2744,0.11323936,0.0021080801
90,1.4680634,3161.0117,0.11376123,0.004578596
90,1.4680656,2510.8032,0.11440835,0.0051300242
90,1.4680693,1995.6388,0.11609603,0.0089381859
90,1.4680713,1585.5074,0.11904934,0.0092032999
90,1.4680723,1258.7913,0.12052269,0.011511442
90,1.4680698,1000.3202,0.12172534,0.014274764
90,1.4680724,794.23785,0.12422206,0.016308961
90,1.4680754,631.00964,0.12460556,0.017558357
90,1.4680783,501.44418,0.12867939,0.019715082
90,1.4680825,398.08914,0.13007376,0.021226121
90,1.468081,316.31589,0.13416456,0.021953365
90,1.4680866,251.04433,0.13630384,0.026557356
90,1.4680804,199.55299,0.13927417,0.028695455
90,1.4680884,158.42841,0.14280559,0.031902712
90,1.4680889,125.84567,0.14521246,0.035963178
90,1.4680883,100.03201,0.15244344,0.040605217
90,1.4680918,79.415512,0.15531208,0.045430079
90,1.4680935,63.082298,0.16123666,0.051540539
90,1.4680899,50.144421,0.1683985,0.059845392
90,1.468096,39.808914,0.17488459,0.066011779
90,1.4680952,31.629555,0.18447946,0.074957974
90,1.4680957,25.104433,0.19677874,0.086583808
90,1.4680959,19.955299,0.2098134,0.092689492
90,1.4680949,15.857577,0.22362339,0.10210765
90,1.4680967,12.600809,0.24211684,0.11123942
90,1.4680976,10.003201,0.26306406,0.11644437
90,1.4681035,7.9395323,0.28284782,0.12128475
90,1.4680994,6.3105812,0.303642,0.12287063
90,1.4681035,5.0080128,0.32408679,0.12408583
90,1.4680965,3.9778516,0.34475183,0.12195
90,1.4680976,3.1629555,0.3637712,0.1206708
90,1.4680982,2.5136747,0.38012409,0.11786446
90,1.4681025,1.99553,0.39517543,0.11492258
90,1.4681171,1.5853286,0.4092983,0.11266153
