SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
30,1.2671694,100003.71,0.2039742,-0.14759019
30,1.267166,79433.273,0.20319824,-0.11585884
30,1.2671674,63093.824,0.20022705,-0.089445084
30,1.2671679,50122.477,0.20004018,-0.067047283
30,1.2671679,39814.059,0.20066203,-0.048526015
30,1.2671684,31621.139,0.20293184,-0.037010774
30,1.2671766,25116.91,0.20317538,-0.0248447
30,1.2671744,19948.785,0.2031787,-0.018094296
30,1.2671732,15847.683,0.206632,-0.0089126341
30,1.267172,12590.93,0.2084631,-0.0026174919
30,1.2671747,10002.226,0.21144803,0.0034969866
30,1.2671806,7943.999,0.2131442,0.0074536628
30,1.2671678,6307.7339,0.21683916,0.014012789
30,1.2671627,5011.604,0.21956423,0.016271329
30,1.2671682,3981.2744,0.2257645,0.020732131
30,1.2671661,3161.0117,0.22862594,0.02215641
30,1.2671683,2510.8032,0.23236693,0.025088763
30,1.2671679,1995.6388,0.23709957,0.026773686
30,1.2671692,1585.5074,0.243286,0.028511027
30,1.2671641,1258.7913,0.24805732,0.030783385
30,1.2671646,1000.3202,0.25338224,0.033192597
30,1.2671708,794.23785,0.25602278,0.033885229
30,1.2671686,631.00964,0.26212701,0.035363462
30,1.2671666,501.44418,0.26687014,0.036843169
30,1.26717,398.08914,0.27264524,0.035998762
30,1.2671719,316.31589,0.27693695,0.036309622
30,1.2671674,251.04433,0.28306663,0.039044872
30,1.2671733,199.55299,0.28817785,0.041380771
30,1.2671695,158.42841,0.29355627,0.043153483
30,1.2671689,125.84567,0.29833201,0.044489887
30,1.2671752,100.03201,0.30408251,0.047895946
30,1.2671727,79.415512,0.31030717,0.050786719
30,1.2671741,63.082298,0.31816021,0.054918785
30,1.2671673,50.144421,0.3246828,0.057344936
30,1.2671781,39.808914,0.3319644,0.063352719
30,1.2671708,31.629555,0.33998439,0.066597842
30,1.2671717,25.104433,0.3491537,0.073484823
30,1.2671835,19.955299,0.35857904,0.078702666
30,1.267168,15.857577,0.36734715,0.08552286
30,1.2671794,12.600809,0.37656602,0.095405757
30,1.2671889,10.003201,0.3887881,0.10401709
30,1.2671652,7.9395323,0.40148103,0.11568625
30,1.2671933,6.3105812,0.41483828,0.12739159
30,1.2672024,5.0080128,0.42896086,0.14279626
30,1.2671846,3.9778516,0.44386604,0.16055179
30,1.2672027,3.1629555,0.46095982,0.18064812
30,1.2672026,2.5136747,0.48126781,0.20597075
30,1.2671813,1.99553,0.50449288,0.23554906
30,1.2671901,1.5853286,0.53333616,0.27043742
30,1.2671907,1.2596742,0.56934088,0.30916381
30,1.2672037,1.0000639,0.61293554,0.35120577
30,1.2671903,0.79363066,0.66839743,0.3955985
30,1.2672098,0.63090527,0.736458,0.43621019
30,1.2672319,0.50154078,0.81544286,0.46878499
30,1.2672288,0.39774463,0.90362501,0.49242568
30,1.2672284,0.3161931,0.99327105,0.50041986
30,1.2672501,0.25122195,1.0811951,0.49431586
30,1.2672867,0.19933917,1.1613866,0.47817513
30,1.2673186,0.15860692,1.2303797,0.45661712
30,1.2673435,0.12593903,1.2920742,0.43515995
30,1.2673581,0.10007046,1.3455675,0.41596061
30,1.2679065,100003.71,0.2043712,-0.14871173
30,1.2677525,79433.273,0.20028505,-0.11354293
30,1.2677457,63093.824,0.19898218,-0.089411192
30,1.2677252,50122.477,0.19844431,-0.067924283
30,1.267705,39814.059,0.20070046,-0.049719412
30,1.2676984,31621.139,0.20178321,-0.034880854
30,1.267682,25116.91,0.20247662,-0.02639313
30,1.2676739,19948.785,0.2047459,-0.016354496
30,1.2676737,15847.683,0.20700929,-0.010554869
30,1.2676609,12590.93,0.20796672,-0.002480706
30,1.2676486,10002.226,0.21127287,0.004407227
30,1.2676445,7943.999,0.2120918,0.0087423306
30,1.2676228,6307.7339,0.21739392,0.012116581
30,1.2676163,5011.604,0.21979542,0.018139377
30,1.2676132,3981.2744,0.22467892,0.018271742
30,1.2676048,3161.0117,0.22825907,0.022208158
30,1.2676042,2510.8032,0.23357618,0.025017999
30,1.2676016,1995.6388,0.23582456,0.027515819
30,1.2675959,1585.5074,0.23889862,0.029541139
30,1.2675912,1258.7913,0.24500567,0.030644609
30,1.2675815,1000.3202,0.25032029,0.031113049
30,1.2675774,794.23785,0.25698182,0.032957807
30,1.2675698,631.00964,0.26202103,0.034166843
30,1.2675704,501.44418,0.26620385,0.035167165
30,1.2675685,398.08914,0.27227113,0.038396996
30,1.2675664,316.31589,0.27597713,0.036902029
30,1.2675606,251.04433,0.28247321,0.038596477
30,1.2675604,199.55299,0.28605044,0.041419744
30,1.2675552,158.42841,0.29322323,0.042962871
30,1.2675582,125.84567,0.29953566,0.04466464
30,1.2675432,100.03201,0.30462918,0.048961945
30,1.2675514,79.415512,0.31193405,0.050203871
30,1.2675437,63.082298,0.31660104,0.052912101
30,1.267543,50.144421,0.32379043,0.057902973
30,1.2675416,39.808914,0.33162639,0.060814522
30,1.2675465,31.629555,0.33998099,0.067068011
30,1.2675414,25.104433,0.3494736,0.072619282
30,1.2675415,19.955299,0.35753763,0.079780951
30,1.2675446,15.857577,0.36718702,0.085798673
30,1.2675314,12.600809,0.37966332,0.095000051
30,1.2675191,10.003201,0.38837716,0.10410295
30,1.2675354,7.9395323,0.40204185,0.11516203
30,1.267517,6.3105812,0.41451311,0.12735787
30,1.2675068,5.0080128,0.42918471,0.14201607
30,1.2675323,3.9778516,0.44328144,0.16085939
30,1.2675179,3.1629555,0.46245164,0.18075335
30,1.2675189,2.5136747,0.48186824,0.20634505
30,1.2675335,1.99553,0.50586194,0.23591781
30,1.2675197,1.5853286,0.53627384,0.26972994
30,1.2675251,1.2596742,0.57194662,0.3083533
30,1.2675104,1.0000639,0.61823881,0.35002249
30,1.2675301,0.79363066,0.67422283,0.39196718
30,1.2675205,0.63090527,0.7434715,0.43102553
30,1.2675061,0.50154078,0.82144856,0.46358994
30,1.2675145,0.39774463,0.90849441,0.48460048
30,1.267531,0.3161931,0.99651712,0.49151394
30,1.2675294,0.25122195,1.082579,0.48742542
30,1.2675188,0.19933917,1.1621373,0.47597814
30,1.267511,0.15860692,1.2314411,0.4573836
