SOC [%],Time [s],Voltage [V]
90,130614.064818971,1.45309876666667
90,130614.115218959,1.45429721666667
90,130615.11521872,1.4551727
90,130616.115218482,1.45532878333333
90,130617.115218243,1.45546881666667
90,130618.115218005,1.45554208333333
90,130619.115217767,1.45563443333333
90,130620.115217528,1.45567893333333
90,130621.11521729,1.45571725
90,130622.115217051,1.45576493333333
90,130623.115216813,1.45583185
90,130624.115216574,1.4558541
90,130625.115216336,1.4558986
90,130626.115216098,1.45592101666667
90,130627.115215859,1.45596233333333
90,130628.115215621,1.4559846
90,130629.115215386,1.45597188333333
90,130630.115215151,1.45601336666667
90,130631.115214917,1.45604196666667
90,130632.115214682,1.45605786666667
90,130633.115214447,1.45606105
90,130634.115214213,1.45609283333333
90,130635.115213978,1.45614068333333
90,130636.115213743,1.45612796666667
90,130637.115213508,1.4561534
90,130638.115213274,1.45617565
90,130639.115213039,1.4561979
90,130640.115212804,1.45620425
90,130641.11521257,1.45621076666667
90,130642.115212335,1.45623938333333
90,130643.1152121,1.45624891666667
90,130644.115211866,1.45625845
90,130645.115211631,1.45627435
90,130646.115211396,1.45628388333333
90,130647.115211162,1.45628706666667
90,130648.115210927,1.45627753333333
90,130649.115210692,1.45630613333333
90,130650.115210458,1.45634761666667
90,130651.115210223,1.45635716666667
90,130652.115209988,1.45636988333333
90,130653.115209753,1.45635398333333
90,130654.115209519,1.45636988333333
90,130655.115209283,1.45638895
90,130656.115209044,1.45637941666667
90,130657.115208806,1.45639848333333
90,130658.115208567,1.45641136666667
90,130659.115208329,1.45640801666667
90,130660.115208091,1.45642725
90,130661.115207852,1.45644951666667
90,130662.115207614,1.45642408333333
90,130663.115207375,1.45645586666667
90,130664.115207137,1.45646858333333
90,130665.115206898,1.45648765
90,130666.11520666,1.45644633333333
90,130667.115206422,1.45647811666667
90,130668.115206183,1.45650355
90,130669.115205945,1.45651325
90,130670.115205706,1.4565099
90,130671.115205468,1.4565196
90,130672.115205229,1.4565355
90,130673.115204991,1.45654503333333
90,130674.115204753,1.45655775
90,130675.115204514,1.45656093333333
90,130676.115204276,1.45657046666667
90,130677.115204037,1.45655775
90,130678.115203799,1.45657681666667
90,130679.115203561,1.45657681666667
90,130680.115203322,1.45658318333333
90,130681.115203084,1.45662466666667
90,130682.115202849,1.4565959
90,130683.115202615,1.45659271666667
90,130684.11520238,1.45660543333333
90,130685.115202145,1.45664373333333
90,130686.115201911,1.45664056666667
90,130687.115201676,1.45665645
90,130688.115201441,1.45664691666667
90,130689.115201207,1.4566946
90,130690.115200972,1.45665645
90,130691.115200737,1.45666281666667
90,130692.115200503,1.45665645
90,130693.115200268,1.45668188333333
90,130694.115200033,1.45667235
90,130695.115199798,1.45668188333333
90,130696.115199564,1.45669141666667
90,130697.115199329,1.45669778333333
90,130698.115199094,1.45670731666667
90,130699.11519886,1.45669778333333
90,130700.115198625,1.4567105
90,130701.11519839,1.45672336666667
90,130702.115198156,1.45674561666667
90,130703.115197921,1.4567105
90,130704.115197686,1.45672973333333
90,130705.115197452,1.45674245
90,130706.115197217,1.45674561666667
90,130707.115196982,1.4567488
90,130708.115196745,1.45675516666667
90,130709.115196507,1.45674561666667
