SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
90,1.4650244,50122.477,0.11822864,-0.062460747
90,1.4650267,39814.059,0.118211,-0.046541344
90,1.4650311,31621.139,0.11987521,-0.032592937
90,1.4650337,25116.91,0.11840962,-0.025755467
90,1.4650317,19948.785,0.11830179,-0.019931406
90,1.4650329,15847.683,0.12129723,-0.011342219
90,1.4650373,12590.93,0.11943724,-0.0067865564
90,1.4650344,10002.226,0.11744425,-0.0061250231
90,1.4650407,7943.999,0.12392876,0.0011081683
90,1.4650282,6307.7339,0.12412179,0.0012726557
90,1.4650248,5011.604,0.12177254,0.0023879774
90,1.4650249,3981.2744,0.1257918,0.003792712
90,1.465024,3161.0117,0.12775886,0.0087238373
90,1.4650339,2510.8032,0.12912893,0.010313572
90,1.4650273,1995.6388,0.13027804,0.0066602905
90,1.4650286,1585.5074,0.13003638,0.011206376
90,1.4650258,1258.7913,0.13578515,0.014323502
90,1.4650263,1000.3202,0.13136698,0.014438102
90,1.4650286,794.23785,0.13542539,0.016761603
90,1.4650319,631.00964,0.13885558,0.016182609
90,1.46503,501.44418,0.14309692,0.022727134
90,1.4650289,398.08914,0.14565314,0.023959296
90,1.4650261,316.31589,0.14856955,0.023110634
90,1.4650317,251.04433,0.15082166,0.026250828
90,1.4650316,199.55299,0.15100355,0.03014669
90,1.4650319,158.42841,0.156717,0.036689188
90,1.4650252,125.84567,0.15878947,0.039404597
90,1.4650309,100.03201,0.16486341,0.045196638
90,1.4650327,79.415512,0.16772397,0.054115415
90,1.4650365,63.082298,0.17615217,0.058677416
90,1.4650322,50.144421,0.18195774,0.063481957
90,1.4650406,39.808914,0.19240855,0.070178784
90,1.4650376,31.629555,0.19633788,0.078252032
90,1.4650362,25.104433,0.21068875,0.089748807
90,1.4650351,19.955299,0.22403617,0.099568263
90,1.4650404,15.857577,0.23782876,0.11608376
90,1.4650402,12.600809,0.25810114,0.12320131
90,1.4650383,10.003201,0.27936453,0.13217597
90,1.4650387,7.9395323,0.30080101,0.14104357
90,1.4650435,6.3105812,0.32632503,0.15016578
90,1.4650408,5.0080128,0.35129616,0.15327746
90,1.465039,3.9778516,0.37560901,0.15641692
90,1.4650389,3.1629555,0.40028179,0.15709735
90,1.4650408,2.5136747,0.42404163,0.15675569
90,1.465046,1.99553,0.44609025,0.1558494
90,1.4650497,1.5853286,0.46865937,0.15588842
90,1.4650489,1.2596742,0.48851335,0.15373714
90,1.465059,1.0000639,0.50583035,0.15420614
90,1.4650642,0.79363066,0.52499336,0.15213034
90,1.4650642,0.63090527,0.54277778,0.15607157
90,1.4650762,0.50154078,0.55986077,0.15822315
90,1.465086,0.39774463,0.57525128,0.15894388
90,1.4650964,0.3161931,0.5931614,0.16287281
90,1.4651029,0.25122195,0.61084306,0.16880265
90,1.4651104,0.19933917,0.62907809,0.17496212
90,1.4651271,0.15860692,0.64627516,0.18051206
90,1.4651541,0.12593903,0.66341007,0.18677394
90,1.46518,0.10007046,0.68120837,0.19343574
90,1.4650264,100003.71,0.12720758,-0.12611939
90,1.4650381,79433.273,0.12366584,-0.10122699
90,1.4650513,63093.824,0.12122851,-0.079262733
90,1.4650635,50122.477,0.11621115,-0.06114218
90,1.4650728,39814.059,0.11868569,-0.044333316
90,1.465091,31621.139,0.11706366,-0.037292223
90,1.4651021,25116.91,0.11855452,-0.024954749
90,1.4650965,19948.785,0.11656267,-0.018889684
90,1.4651045,15847.683,0.1164223,-0.01350173
90,1.4651086,12590.93,0.11929563,-0.0095070321
90,1.4651183,10002.226,0.11865336,-0.0054890085
90,1.4651225,7943.999,0.12274998,-0.0016054966
90,1.4651099,6307.7339,0.12225106,0.0010001552
90,1.4651194,5011.604,0.12029784,0.0018381695
90,1.4651201,3981.2744,0.12496377,0.0053354478
90,1.4651246,3161.0117,0.12797174,0.0084755942
90,1.4651216,2510.8032,0.12745546,0.0063901045
90,1.465127,1995.6388,0.12821946,0.0091788648
90,1.4651273,1585.5074,0.13105564,0.010188542
90,1.465131,1258.7913,0.13571908,0.013296856
90,1.4651333,1000.3202,0.13809775,0.014581934
90,1.4651362,794.23785,0.13629642,0.01891214
90,1.4651375,631.00964,0.14374284,0.0187445
90,1.4651437,501.44418,0.14553629,0.020141421
90,1.4651421,398.08914,0.14342289,0.023198949
90,1.4651459,316.31589,0.1458731,0.023842454
90,1.4651453,251.04433,0.15114579,0.025831075
90,1.4651449,199.55299,0.15321086,0.028619301
90,1.4651508,158.42841,0.15981373,0.034681607
90,1.4651453,125.84567,0.15841214,0.039463297
90,1.4651525,100.03201,0.16564345,0.042290598
90,1.4651603,79.415512,0.17099482,0.050627742
90,1.4651542,63.082298,0.17389193,0.056633618
90,1.4651569,50.144421,0.18363072,0.064205728
90,1.4651619,39.808914,0.18859023,0.071629576
90,1.4651595,31.629555,0.20233305,0.082340941
90,1.4651568,25.104433,0.20895746,0.089710169
90,1.4651617,19.955299,0.22504102,0.10079068
90,1.465162,15.857577,0.24022833,0.11323633
90,1.4651659,12.600809,0.25438821,0.12332428
90,1.4651757,10.003201,0.27589193,0.13777873
90,1.4651618,7.9395323,0.30259719,0.14355512
90,1.4651681,6.3105812,0.32857859,0.15129304
90,1.4651682,5.0080128,0.35024133,0.15409823
90,1.4651676,3.9778516,0.37727523,0.15716039
90,1.4651721,3.1629555,0.4039152,0.15815568
90,1.4651784,2.5136747,0.42767236,0.15812817
90,1.4651783,1.99553,0.45132154,0.15733296
90,1.4651854,1.5853286,0.47060427,0.15542193
90,1.4651906,1.2596742,0.49165979,0.15576875
90,1.4651958,1.0000639,0.5104295,0.15407285
90,1.4651991,0.79363066,0.53133506,0.15651998
90,1.4652131,0.63090527,0.54705393,0.15676786
90,1.4652262,0.50154078,0.56381845,0.15694527
90,1.4652315,0.39774463,0.58239144,0.16151537
90,1.4652396,0.3161931,0.5991863,0.16639267
90,1.465255,0.25122195,0.61572385,0.17093246
90,1.4652768,0.19933917,0.63077527,0.17451568
90,1.4652996,0.15860692,0.64726865,0.18006386
90,1.4653196,0.12593903,0.66533458,0.18784599
90,1.4653358,0.10007046,0.68479687,0.19630317
80,1.4265628,100003.71,0.1140398,-0.12595601
80,1.4265735,79433.273,0.11230133,-0.098545849
80,1.4265702,63093.824,0.10819516,-0.071792409
80,1.4265723,50122.477,0.10698327,-0.058340721
80,1.4265702,39814.059,0.1033873,-0.045244288
80,1.4265738,31621.139,0.10686938,-0.031594243
80,1.4265687,25116.91,0.10899435,-0.025396494
80,1.4265798,19948.785,0.10289414,-0.020589283
80,1.4265785,15847.683,0.10893506,-0.011471705
80,1.4265777,12590.93,0.1100964,-0.010597925
80,1.4265753,10002.226,0.10811296,-0.0079072714
80,1.4265865,7943.999,0.10855662,-0.0046350001
80,1.4265696,6307.7339,0.11354268,0.0036394151
80,1.4265715,5011.604,0.11353321,0.0031162193
80,1.4265709,3981.2744,0.11336857,0.0038784281
80,1.4265751,3161.0117,0.11556932,0.0061232378
80,1.4265728,2510.8032,0.11672948,0.0061234841
80,1.4265673,1995.6388,0.12045661,0.0039052435
80,1.4265721,1585.5074,0.119562,0.010331345
80,1.4265767,1258.7913,0.11687456,0.011831714
80,1.4265788,1000.3202,0.11759395,0.012871004
80,1.4265751,794.23785,0.12360838,0.012835363
80,1.4265715,631.00964,0.12716082,0.013404694
80,1.4265791,501.44418,0.12774655,0.01461042
80,1.4265767,398.08914,0.13231891,0.014921057
80,1.4265813,316.31589,0.13363938,0.020246161
80,1.4265862,251.04433,0.13402882,0.017439822
80,1.4265789,199.55299,0.1368793,0.020539125
80,1.426582,158.42841,0.14408928,0.024226518
80,1.4265836,125.84567,0.1418943,0.026776286
80,1.4265833,100.03201,0.14769818,0.028934497
80,1.4265887,79.415512,0.14915554,0.030396339
80,1.4265845,63.082298,0.15410936,0.035374578
80,1.4265889,50.144421,0.15740696,0.039598864
80,1.4265931,39.808914,0.1647376,0.047261208
80,1.4265925,31.629555,0.17228799,0.052059211
80,1.4265906,25.104433,0.17578711,0.059331473
80,1.4265958,19.955299,0.18046801,0.06388209
80,1.4265969,15.857577,0.18864611,0.071615241
80,1.426592,12.600809,0.20026484,0.083329722
80,1.426592,10.003201,0.2103323,0.092901126
80,1.426597,7.9395323,0.22504734,0.1066746
80,1.4265976,6.3105812,0.24463665,0.11664464
80,1.4265965,5.0080128,0.26485348,0.12818718
80,1.4266024,3.9778516,0.28655976,0.13729063
80,1.4265989,3.1629555,0.31021941,0.14666535
80,1.4266019,2.5136747,0.33538184,0.15024838
80,1.4266107,1.99553,0.36040184,0.1539838
80,1.4266107,1.5853286,0.38672405,0.15644833
80,1.4266136,1.2596742,0.40785581,0.15599671
80,1.4266161,1.0000639,0.4321492,0.15696672
80,1.4266315,0.79363066,0.4514547,0.15591308
80,1.4266367,0.63090527,0.47259936,0.15605791
80,1.4266418,0.50154078,0.49179205,0.15802237
80,1.4266595,0.39774463,0.5092628,0.15856838
80,1.4266753,0.3161931,0.52675503,0.15975028
80,1.4266903,0.25122195,0.54563218,0.16351043
80,1.4267077,0.19933917,0.56446499,0.16874468
80,1.4267265,0.15860692,0.58266765,0.17441903
80,1.4267553,0.12593903,0.60157245,0.17959358
80,1.4268006,0.10007046,0.61965603,0.18561019
80,1.4265207,100003.71,0.11380545,-0.13036445
80,1.4265906,79433.273,0.11404198,-0.098869562
80,1.4266355,63093.824,0.10751865,-0.076856323
80,1.4266595,50122.477,0.10650524,-0.057614822
80,1.4266771,39814.059,0.1053814,-0.042104609
80,1.4266881,31621.139,0.10632939,-0.033359572
80,1.4266959,25116.91,0.10768861,-0.030761095
80,1.4267044,19948.785,0.10715021,-0.019867089
80,1.426729,15847.683,0.10908594,-0.015826184
80,1.4267268,12590.93,0.11033688,-0.0095685972
80,1.4267381,10002.226,0.11277278,-0.0060942341
80,1.4267479,7943.999,0.11011209,-0.0031746584
80,1.4267352,6307.7339,0.11205328,-0.00090451521
80,1.4267329,5011.604,0.11105779,0.00095374155
80,1.4267344,3981.2744,0.11738973,0.0036827789
80,1.4267424,3161.0117,0.11803361,0.0083348183
80,1.4267503,2510.8032,0.11512954,0.0060356809
80,1.4267542,1995.6388,0.11884116,0.0098074479
80,1.426752,1585.5074,0.12240452,0.011166668
80,1.4267601,1258.7913,0.1206318,0.010961753
80,1.4267591,1000.3202,0.12483229,0.012470044
80,1.4267644,794.23785,0.12335535,0.01288
80,1.4267613,631.00964,0.13028345,0.013482197
80,1.4267663,501.44418,0.12954888,0.014810115
80,1.4267666,398.08914,0.1338395,0.019480824
80,1.4267708,316.31589,0.13184279,0.01879357
80,1.4267726,251.04433,0.13713664,0.020894885
80,1.4267818,199.55299,0.14150247,0.025704067
80,1.4267727,158.42841,0.14318651,0.024265788
80,1.4267776,125.84567,0.14744395,0.029180625
80,1.4267786,100.03201,0.14726309,0.029547734
80,1.4267807,79.415512,0.15343815,0.03371574
80,1.4267828,63.082298,0.15743704,0.035260633
80,1.4267882,50.144421,0.15895882,0.039888009
80,1.4267781,39.808914,0.16618159,0.046837822
80,1.4267876,31.629555,0.17062566,0.052317597
80,1.4267919,25.104433,0.17872778,0.059264529
80,1.4267886,19.955299,0.18256254,0.062824778
80,1.4267967,15.857577,0.19369437,0.073311001
80,1.426796,12.600809,0.20312957,0.083913624
80,1.4267952,10.003201,0.21206076,0.096810833
80,1.426796,7.9395323,0.22895697,0.11036943
80,1.4268014,6.3105812,0.24563125,0.11964795
80,1.4268047,5.0080128,0.26334977,0.13050272
80,1.4268053,3.9778516,0.28664002,0.14170462
80,1.4268072,3.1629555,0.30674824,0.14824577
80,1.4268062,2.5136747,0.33699074,0.15389894
80,1.4268171,1.99553,0.36165476,0.15719147
80,1.4268223,1.5853286,0.38695499,0.15787879
80,1.4268262,1.2596742,0.41111714,0.15961702
80,1.4268347,1.0000639,0.43477771,0.16074815
80,1.4268454,0.79363066,0.45669055,0.1572949
80,1.4268541,0.63090527,0.47699496,0.15932785
80,1.4268669,0.50154078,0.49587071,0.15969157
80,1.4268856,0.39774463,0.51422274,0.16028996
80,1.4269044,0.3161931,0.53129566,0.16202162
80,1.426914,0.25122195,0.55036116,0.16653524
80,1.4269316,0.19933917,0.56809103,0.17144169
80,1.4269525,0.15860692,0.58596122,0.17590748
80,1.4269874,0.12593903,0.60351944,0.18123081
80,1.4270285,0.10007046,0.61994928,0.18682599
70,1.3904182,100003.71,0.11309187,-0.12401076
70,1.3904254,79433.273,0.11219239,-0.096521795
70,1.3904288,63093.824,0.11059897,-0.074255861
70,1.3904257,50122.477,0.10905975,-0.057371289
70,1.3904274,39814.059,0.10877293,-0.045769528
70,1.3904294,31621.139,0.11069229,-0.033373464
70,1.3904297,25116.91,0.10986529,-0.023942713
70,1.3904289,19948.785,0.11030326,-0.020222889
70,1.3904288,15847.683,0.10960671,-0.012609885
70,1.3904376,12590.93,0.11209849,-0.01131773
70,1.3904301,10002.226,0.11099964,-0.00061048969
70,1.3904381,7943.999,0.1129531,-0.00220024
70,1.3904191,6307.7339,0.11462555,0.00093840866
70,1.3904233,5011.604,0.11512564,-0.00098199642
70,1.3904307,3981.2744,0.11661853,0.0046349047
