SOC [%],Time [s],Voltage [V]
70,400220.288156151,1.376263
70,400220.338556104,1.3771418
70,400221.338555359,1.3779441
70,400222.338554614,1.3781734
70,400223.338553869,1.378288
70,400224.338553124,1.378288
70,400225.338552379,1.3785173
70,400226.338551634,1.3783835
70,400227.338550889,1.3784218
70,400228.338550144,1.3785173
70,400229.338549399,1.3785173
70,400230.338548654,1.3784982
70,400231.338547909,1.3785173
70,400232.338547164,1.378651
70,400233.338546419,1.3787465
70,400234.338545674,1.3786701
70,400235.338544929,1.3787465
70,400236.338544183,1.378651
70,400237.338543438,1.378651
70,400238.338542693,1.3788038
70,400239.338541948,1.3788038
70,400240.338541203,1.3788993
70,400241.338540458,1.3788611
70,400242.338539713,1.3788803
70,400243.338538968,1.3789184
70,400244.338538223,1.3789757
70,400245.338537477,1.3787465
70,400246.338536732,1.378842
70,400247.338535987,1.3789948
70,400248.338535242,1.3789375
70,400249.338534497,1.3788229
70,400250.338533752,1.3789184
70,400251.338533007,1.3789184
70,400252.338532262,1.378842
70,400253.338531517,1.3790139
70,400254.338530772,1.3790712
70,400255.338530027,1.3790139
70,400256.338529282,1.3790903
70,400257.338528537,1.3789184
70,400258.338527792,1.3790139
70,400259.338527047,1.3791286
70,400260.338526302,1.3790522
70,400261.338525556,1.3790331
70,400262.338524811,1.3791476
70,400263.338524066,1.3792623
70,400264.338523321,1.3791286
70,400265.338522576,1.3790712
70,400266.338521831,1.3791476
70,400267.338521086,1.3791859
70,400268.338520341,1.3791476
70,400269.338519596,1.3791095
70,400270.338518851,1.3791859
70,400271.338518106,1.3791476
70,400272.338517361,1.3792623
70,400273.338516616,1.379205
70,400274.338515871,1.3792241
70,400275.338515126,1.3791476
70,400276.338514381,1.3792241
70,400277.338513636,1.3791859
70,400278.338512891,1.3791667
70,400279.338512145,1.3792241
70,400280.3385114,1.3792431
70,400281.338510655,1.3792431
70,400282.33850991,1.3793387
70,400283.338509165,1.3793387
70,400284.33850842,1.379396
70,400285.338507675,1.3794342
70,400286.33850693,1.3793578
70,400287.338506185,1.3793769
70,400288.33850544,1.379396
70,400289.338504695,1.3793578
70,400290.33850395,1.3794342
70,400291.338503205,1.3794342
70,400292.33850246,1.3793195
70,400293.338501715,1.3793769
70,400294.33850097,1.3793578
70,400295.338500225,1.3792623
70,400296.33849948,1.3792623
70,400297.338498734,1.3794342
70,400298.338497989,1.3795106
70,400299.338497244,1.3793769
70,400300.338496499,1.3794152
70,400301.338495754,1.379396
70,400302.338495009,1.379396
70,400303.338494264,1.379396
70,400304.338493519,1.3794342
70,400305.338492774,1.3793578
70,400306.338492029,1.3795297
70,400307.338491284,1.3794916
70,400308.338490539,1.3794152
70,400309.338489794,1.3794916
70,400310.338489049,1.3794724
70,400311.338488304,1.3795297
70,400312.338487558,1.379396
70,400313.338486813,1.3794533
70,400314.338486068,1.3794724
70,400315.338485323,1.3794533
70,400316.338484578,1.3795488
70,400317.338483833,1.3794916
70,400318.338483088,1.3795106
70,400319.338482343,1.3795488
70,400320.338481598,1.3794724
70,400321.338480853,1.3795488
70,400322.338480108,1.3796061
70,400323.338479363,1.3795297
70,400324.338478618,1.3794533
70,400325.338477873,1.3796252
70,400326.338477128,1.3795488
70,400327.338476383,1.3794533
70,400328.338475638,1.3795488
70,400329.338474892,1.3796061
70,400330.338474147,1.3796061
70,400331.338473402,1.3796061
70,400332.338472657,1.3795297
70,400333.338471912,1.3797016
70,400334.338471167,1.3796444
70,400335.338470422,1.3796061
70,400336.338469677,1.3796635
70,400337.338468932,1.3796252
70,400338.338468187,1.3796635
70,400339.338467442,1.3796635
70,400340.338466697,1.3796635
70,400341.338465952,1.3797016
70,400342.338465207,1.3796635
70,400343.338464462,1.379759
70,400344.338463717,1.3796252
70,400345.338462972,1.3796635
70,400346.338462227,1.3797016
70,400347.338461482,1.379778
70,400348.338460736,1.379759
70,400349.338459991,1.3796825
70,400350.338459246,1.3796252
70,400351.338458501,1.3797208
70,400352.338457756,1.3796061
70,400353.338457011,1.379568
70,400354.338456266,1.3797972
70,400355.338455521,1.3797208
70,400356.338454776,1.379759
70,400357.338454031,1.379778
70,400358.338453286,1.3798163
70,400359.338452541,1.3798544
70,400360.338451796,1.379778
70,400361.338451051,1.3797972
70,400362.338450306,1.3798354
70,400363.338449561,1.3798736
70,400364.338448816,1.3797399
70,400365.338448071,1.3798354
70,400366.338447325,1.3799118
70,400367.33844658,1.3797399
70,400368.338445835,1.3798544
70,400369.33844509,1.3798927
70,400370.338444345,1.3799118
70,400371.3384436,1.3798736
70,400372.338442855,1.3796825
70,400373.33844211,1.3798544
70,400374.338441365,1.3797972
70,400375.33844062,1.3798544
70,400376.338439875,1.3798354
70,400377.33843913,1.3798354
70,400378.338438385,1.3800646
70,400379.33843764,1.3800073
70,400380.338436895,1.3798354
70,400381.33843615,1.3798544
70,400382.338435405,1.3798544
70,400383.338434659,1.3797972
70,400384.338433914,1.3798544
70,400385.338433169,1.3798736
70,400386.338432424,1.3798927
70,400387.338431679,1.3800073
70,400388.338430934,1.3797972
70,400389.338430189,1.3799691
70,400390.338429444,1.3799309
70,400391.338428699,1.3799691
70,400392.338427954,1.3799691
70,400393.338427209,1.3799691
70,400394.338426464,1.3798927
70,400395.338425719,1.3799309
70,400396.338424974,1.3799309
70,400397.338424229,1.3800073
70,400398.338423483,1.37995
70,400399.338422738,1.3798736
70,400400.338421993,1.3801029
70,400401.338421248,1.37995
70,400402.338420503,1.3800265
70,400403.338419758,1.3798736
70,400404.338419013,1.3799691
70,400405.338418268,1.3799691
70,400406.338417523,1.37995
70,400407.338416778,1.3800837
70,400408.338416033,1.3799691
70,400409.338415288,1.37995
70,400410.338414543,1.3800073
70,400411.338413798,1.3799309
70,400412.338413053,1.3800837
70,400413.338412308,1.3799882
70,400414.338411563,1.3800455
70,400415.338410818,1.380141
70,400416.338410072,1.3800265
70,400417.338409327,1.3799691
70,400418.338408582,1.3799882
70,400419.338407837,1.3799882
70,400420.338407092,1.3801984
70,400421.338406347,1.3801601
70,400422.338405602,1.380141
70,400423.338404857,1.3799882
70,400424.338404112,1.3800073
70,400425.338403367,1.3801601
70,400426.338402622,1.3800646
70,400427.338401877,1.3800455
70,400428.338401132,1.3800265
70,400429.338400387,1.3800646
70,400430.338399642,1.380141
70,400431.338398897,1.3800837
70,400432.338398152,1.3800646
70,400433.338397407,1.3801793
70,400434.338396661,1.3801029
70,400435.338395916,1.3800265
70,400436.338395171,1.3802938
70,400437.338394426,1.3802748
70,400438.338393681,1.3800837
70,400439.338392936,1.3801219
70,400440.338392191,1.3801029
70,400441.338391446,1.380141
70,400442.338390701,1.3802557
70,400443.338389956,1.3802365
70,400444.338389211,1.3802748
70,400445.338388466,1.3801029
70,400446.338387721,1.3801601
70,400447.338386976,1.3800837
70,400448.338386231,1.3801601
70,400449.338385486,1.3801219
70,400450.338384741,1.3802365
70,400451.338383996,1.3801793
70,400452.33838325,1.3801029
70,400453.338382505,1.3801984
70,400454.33838176,1.3802174
70,400455.338381015,1.3802557
70,400456.33838027,1.380141
70,400457.338379525,1.3802938
70,400458.33837878,1.3800646
70,400459.338378035,1.3800455
70,400460.33837729,1.380141
70,400461.338376545,1.3802365
70,400462.3383758,1.3803129
70,400463.338375055,1.3801984
70,400464.33837431,1.3802938
70,400465.338373565,1.3802557
70,400466.33837282,1.3801793
70,400467.338372074,1.3801601
70,400468.338371329,1.3802748
70,400469.338370584,1.3802557
70,400470.338369839,1.3802557
70,400471.338369094,1.3802174
70,400472.338368349,1.3803129
70,400473.338367604,1.3802557
70,400474.338366859,1.3802365
70,400475.338366114,1.3803129
70,400476.338365369,1.3801601
70,400477.338364624,1.3802748
70,400478.338363879,1.3802938
70,400479.338363134,1.3802557
70,400480.338362389,1.3804085
70,400481.338361644,1.3803512
70,400482.338360899,1.3803321
70,400483.338360154,1.3802365
70,400484.338359408,1.3802557
70,400485.338358663,1.3802557
70,400486.338357918,1.3803321
70,400487.338357173,1.3803893
70,400488.338356428,1.3802748
70,400489.338355683,1.3803893
70,400490.338354938,1.3803703
70,400491.338354193,1.3803129
70,400492.338353448,1.3803129
70,400493.338352703,1.3804085
70,400494.338351958,1.3802748
70,400495.338351213,1.3803703
70,400496.338350468,1.3803893
70,400497.338349723,1.3803893
70,400498.338348978,1.3803321
70,400499.338348233,1.3804849
70,400500.338347488,1.3802748
70,400501.338346743,1.3803512
70,400502.338345998,1.3802938
70,400503.338345252,1.3804276
70,400504.338344507,1.3804085
70,400505.338343762,1.3804849
70,400506.338343017,1.3803512
70,400507.338342272,1.3804276
70,400508.338341527,1.3804467
70,400509.338340782,1.3804276
70,400510.338340037,1.3804276
70,400511.338339292,1.3804085
70,400512.338338547,1.3804849
70,400513.338337802,1.3803129
70,400514.338337056,1.3804467
70,400515.338336311,1.3802557
70,400516.338335566,1.3805804
70,400517.338334821,1.3804276
