SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
60,1.3568573,100003.71,0.1291343,-0.11564803
60,1.3568646,79433.273,0.12934886,-0.089158595
60,1.356861,63093.824,0.12632154,-0.068673342
60,1.3568623,50122.477,0.12419551,-0.053707391
60,1.3568661,39814.059,0.12666368,-0.040178489
60,1.3568707,31621.139,0.12786512,-0.026450783
60,1.3568679,25116.91,0.12787621,-0.020937625
60,1.3568672,19948.785,0.12878816,-0.012568543
60,1.3568696,15847.683,0.12976743,-0.010280358
60,1.3568695,12590.93,0.13214372,-0.003705366
60,1.3568695,10002.226,0.13210559,0.00019982923
60,1.3568747,7943.999,0.13572447,0.004835533
60,1.3568583,6307.7339,0.1360667,0.0048686797
60,1.3568574,5011.604,0.14001217,0.0063210381
60,1.3568548,3981.2744,0.14129184,0.0086029228
60,1.3568611,3161.0117,0.14475447,0.010518285
60,1.3568612,2510.8032,0.14566261,0.012648322
60,1.3568618,1995.6388,0.14821723,0.015377654
60,1.3568611,1585.5074,0.15047857,0.0172676
60,1.3568588,1258.7913,0.15331432,0.015733734
60,1.3568642,1000.3202,0.15509678,0.018506223
60,1.3568503,794.23785,0.1585384,0.020251814
60,1.3568586,631.00964,0.16055971,0.021195002
60,1.3568558,501.44418,0.16418763,0.021628579
60,1.3568565,398.08914,0.16646512,0.02369741
60,1.356861,316.31589,0.16973017,0.023914579
60,1.3568541,251.04433,0.17304355,0.026326925
60,1.3568635,199.55299,0.17698441,0.028731037
60,1.3568687,158.42841,0.18335429,0.029853264
60,1.3568633,125.84567,0.18473759,0.033594739
60,1.3568661,100.03201,0.18849298,0.035575964
60,1.3568714,79.415512,0.19436252,0.038813882
60,1.3568691,63.082298,0.19741526,0.041723136
60,1.3568704,50.144421,0.20394728,0.043175526
60,1.3568634,39.808914,0.20837662,0.047802866
60,1.3568696,31.629555,0.2149529,0.051905341
60,1.3568734,25.104433,0.22047257,0.058423545
60,1.3568722,19.955299,0.2290474,0.061328962
60,1.3568711,15.857577,0.23490657,0.070035093
60,1.3568733,12.600809,0.24338165,0.076820984
60,1.3568643,10.003201,0.25250307,0.086195663
60,1.3568686,7.9395323,0.26260683,0.096850388
60,1.3568708,6.3105812,0.27458155,0.10862768
60,1.3568637,5.0080128,0.28983209,0.12353146
60,1.3568758,3.9778516,0.30621064,0.13860682
60,1.3568841,3.1629555,0.32678887,0.15448254
60,1.3568877,2.5136747,0.35126126,0.16981475
60,1.3568853,1.99553,0.38010249,0.18531848
60,1.356876,1.5853286,0.41229767,0.19807532
60,1.3568895,1.2596742,0.44662076,0.2068198
60,1.356877,1.0000639,0.48368353,0.21181634
60,1.3568784,0.79363066,0.51884079,0.21238433
60,1.3568902,0.63090527,0.55116814,0.20741601
60,1.3568881,0.50154078,0.58109576,0.20386973
60,1.3568873,0.39774463,0.60807264,0.19842763
60,1.3568965,0.3161931,0.6314739,0.19204338
60,1.3569161,0.25122195,0.65165907,0.18608947
60,1.3569337,0.19933917,0.67045474,0.18204211
60,1.3569421,0.15860692,0.68912804,0.18096253
60,1.3569473,0.12593903,0.70722383,0.18160969
60,1.3569587,0.10007046,0.72450775,0.18257031
60,1.3571745,100003.71,0.12865451,-0.1150423
60,1.3571482,79433.273,0.12701987,-0.088190198
60,1.3571517,63093.824,0.12688811,-0.068996213
60,1.3571455,50122.477,0.12517022,-0.051308878
60,1.3571374,39814.059,0.12523441,-0.0373393
60,1.3571362,31621.139,0.12729011,-0.029118851
60,1.3571353,25116.91,0.12936233,-0.021176223
60,1.3571264,19948.785,0.12906031,-0.013061228
60,1.3571283,15847.683,0.12964734,-0.0081792409
60,1.3571248,12590.93,0.1318634,-0.0031142682
60,1.3571218,10002.226,0.13290359,-0.0010293706
60,1.3571171,7943.999,0.13554959,0.0024184126
60,1.3571105,6307.7339,0.1353633,0.0057818107
60,1.3571006,5011.604,0.13906761,0.0063016759
60,1.3570998,3981.2744,0.14071727,0.0095160939
60,1.3571042,3161.0117,0.1428863,0.011514178
60,1.3570993,2510.8032,0.14604877,0.012400352
60,1.3570967,1995.6388,0.14771193,0.015373555
60,1.3570925,1585.5074,0.15102151,0.015532666
60,1.3570943,1258.7913,0.15251721,0.016002458
60,1.3570971,1000.3202,0.15474771,0.018004959
60,1.357092,794.23785,0.1572209,0.018631656
60,1.35709,631.00964,0.16092545,0.021360748
60,1.3570871,501.44418,0.16522616,0.021266462
60,1.3570858,398.08914,0.16624793,0.024736768
60,1.3570902,316.31589,0.17142276,0.024554925
60,1.3570902,251.04433,0.17278562,0.027157189
60,1.3570876,199.55299,0.17646156,0.027974337
60,1.357089,158.42841,0.17986028,0.030819653
60,1.3570817,125.84567,0.18470274,0.030819159
60,1.3570809,100.03201,0.19059567,0.034425516
60,1.3570856,79.415512,0.19283538,0.037723351
60,1.3570856,63.082298,0.19884646,0.039071999
60,1.357084,50.144421,0.20326129,0.04416278
60,1.3570803,39.808914,0.2101834,0.047386721
60,1.3570825,31.629555,0.21502352,0.05177087
60,1.3570837,25.104433,0.22186011,0.055366684
60,1.357078,19.955299,0.22836016,0.062431555
60,1.3570844,15.857577,0.23509136,0.066940054
60,1.3570793,12.600809,0.24487278,0.076905183
60,1.3570738,10.003201,0.25291693,0.085400924
60,1.3570762,7.9395323,0.26356831,0.09561675
60,1.3570794,6.3105812,0.27586526,0.10746738
60,1.3570724,5.0080128,0.29046416,0.12222911
60,1.3570791,3.9778516,0.30822498,0.1364371
60,1.3570848,3.1629555,0.32808933,0.15276441
60,1.3570901,2.5136747,0.35299489,0.1672176
