SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
40,1.3072935,100003.71,0.15464325,-0.16750485
40,1.3073,79433.273,0.15304297,-0.12990603
40,1.3072938,63093.824,0.1518327,-0.101734
40,1.3072968,50122.477,0.15199988,-0.076707423
40,1.3072971,39814.059,0.15285955,-0.058248885
40,1.3072979,31621.139,0.15466093,-0.044200987
40,1.307302,25116.91,0.15410677,-0.03282759
40,1.3073047,19948.785,0.15524893,-0.021671105
40,1.3073027,15847.683,0.15876073,-0.01248767
40,1.3073052,12590.93,0.15811899,-0.0072967797
40,1.3073033,10002.226,0.15970255,-0.0016644218
40,1.307307,7943.999,0.16260031,0.0047460757
40,1.3072852,6307.7339,0.16669236,0.0085274959
40,1.3072931,5011.604,0.16757871,0.01158902
40,1.3072908,3981.2744,0.17174605,0.015539694
40,1.3072958,3161.0117,0.17448559,0.019267365
40,1.3072982,2510.8032,0.17842604,0.022523291
40,1.3072945,1995.6388,0.1827618,0.023337312
40,1.3072985,1585.5074,0.18789475,0.025849845
40,1.3072987,1258.7913,0.19309996,0.026584109
40,1.3073025,1000.3202,0.19603759,0.028889593
40,1.3072983,794.23785,0.20120651,0.03253122
40,1.3072965,631.00964,0.20679896,0.03357318
40,1.3072964,501.44418,0.21154484,0.035290558
40,1.3072962,398.08914,0.21676676,0.03571659
40,1.3072999,316.31589,0.22208822,0.037423227
40,1.3073003,251.04433,0.22768447,0.037969757
40,1.3072978,199.55299,0.23311719,0.040554423
40,1.3073069,158.42841,0.23705553,0.043483585
40,1.3072962,125.84567,0.24522391,0.044487257
40,1.3073004,100.03201,0.25084424,0.04763516
40,1.3073032,79.415512,0.25547025,0.050982427
40,1.3073004,63.082298,0.2633549,0.051643811
40,1.3073013,50.144421,0.27025992,0.057717957
40,1.3072976,39.808914,0.27693078,0.060846634
40,1.3073021,31.629555,0.28645694,0.065115459
40,1.3073,25.104433,0.29307547,0.070385136
40,1.3073109,19.955299,0.30262119,0.074685685
40,1.3073076,15.857577,0.30981576,0.080554061
40,1.3073132,12.600809,0.32080936,0.089065924
40,1.3073181,10.003201,0.3298386,0.097852826
