SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
50,1.3353162,100003.71,0.14023998,-0.18698184
50,1.3353153,79433.273,0.13865887,-0.1432194
50,1.3353192,63093.824,0.13734034,-0.11301295
50,1.335324,50122.477,0.13782009,-0.086020276
50,1.3353206,39814.059,0.1377639,-0.063098393
50,1.3353211,31621.139,0.14225148,-0.047429956
50,1.3353179,25116.91,0.14193435,-0.035947245
50,1.3353232,19948.785,0.14308803,-0.026404226
50,1.3353246,15847.683,0.14515953,-0.016953209
50,1.3353233,12590.93,0.14585042,-0.0098772431
50,1.3353214,10002.226,0.14763612,-0.0039993161
50,1.3353244,7943.999,0.15222582,0.0022616789
50,1.3353097,6307.7339,0.15307857,0.0047812969
50,1.3353066,5011.604,0.15701723,0.0092912698
50,1.3353143,3981.2744,0.15781492,0.012521721
50,1.3353084,3161.0117,0.16021714,0.016615866
50,1.3353108,2510.8032,0.16514258,0.016278056
50,1.3353188,1995.6388,0.16700359,0.017372601
50,1.3353159,1585.5074,0.17221421,0.019250717
50,1.3353159,1258.7913,0.17412986,0.022150459
50,1.3353167,1000.3202,0.17767251,0.021424154
50,1.3353163,794.23785,0.18181284,0.02321651
50,1.3353156,631.00964,0.1848463,0.024914647
50,1.3353206,501.44418,0.18915476,0.026415789
50,1.3353131,398.08914,0.1940276,0.026156072
50,1.335315,316.31589,0.19712546,0.028300421
50,1.3353183,251.04433,0.20136446,0.028878456
50,1.335319,199.55299,0.20410283,0.031208204
50,1.3353195,158.42841,0.20939738,0.032005414
50,1.3353179,125.84567,0.214709,0.036455762
50,1.3353202,100.03201,0.21941222,0.03802016
50,1.3353208,79.415512,0.22225042,0.041643046
50,1.3353177,63.082298,0.22952352,0.04279073
50,1.3353208,50.144421,0.23384497,0.047067463
50,1.3353199,39.808914,0.24145971,0.051191937
50,1.3353215,31.629555,0.24591912,0.056005187
50,1.3353161,25.104433,0.25294203,0.061275795
50,1.3353256,19.955299,0.26218602,0.066055819
50,1.335331,15.857577,0.26844636,0.073421098
50,1.3353295,12.600809,0.2776244,0.081558615
50,1.3353304,10.003201,0.28709099,0.09212631
50,1.3353137,7.9395323,0.29707268,0.10160618
50,1.3353239,6.3105812,0.30910081,0.11427909
50,1.3353239,5.0080128,0.32179075,0.1291237
50,1.3353306,3.9778516,0.3382377,0.14650545
50,1.3353412,3.1629555,0.35739958,0.16550322
50,1.3353444,2.5136747,0.38056439,0.1870992
50,1.3353394,1.99553,0.41051799,0.2099283
50,1.335327,1.5853286,0.44457957,0.23064823
50,1.3353417,1.2596742,0.48501053,0.24973051
50,1.3353313,1.0000639,0.5297327,0.26365533
50,1.3353359,0.79363066,0.57680249,0.27154478
50,1.3353522,0.63090527,0.62319607,0.2718001
50,1.3353528,0.50154078,0.6672489,0.26880071
50,1.3353503,0.39774463,0.70729792,0.26137647
50,1.3353642,0.3161931,0.74218047,0.25170204
50,1.3353858,0.25122195,0.77210069,0.24158065
50,1.3354064,0.19933917,0.79868591,0.23259115
