SOC [%],Time [s],Voltage [V]
90,131176.874159529,1.4635772
90,131177.874159685,1.4637681
90,131178.874159842,1.4637681
90,131179.874159998,1.4636917
90,131180.874160154,1.4636917
90,131181.874160311,1.4636726
90,131182.874160467,1.4637491
90,131183.874160624,1.46373
90,131184.87416078,1.46373
90,131185.874160937,1.4636153
90,131186.874161093,1.4638064
90,131187.87416125,1.4637108
90,131188.874161406,1.4639019
90,131189.874161563,1.46373
90,131190.874161719,1.4638828
90,131191.874161876,1.4636726
90,131192.874162032,1.4637681
90,131193.874162188,1.4637872
90,131194.874162345,1.4637681
90,131195.874162501,1.4637681
90,131196.874162658,1.4638255
90,131197.874162814,1.4637681
90,131198.874162971,1.4638255
90,131199.874163127,1.4637108
90,131200.874163284,1.4637491
90,131201.87416344,1.4638828
90,131202.874163597,1.4636726
90,131203.874163753,1.4638636
90,131204.87416391,1.4638636
90,131205.874164066,1.4636917
90,131206.874164223,1.4638064
90,131207.874164379,1.4638445
90,131208.874164535,1.4637681
90,131209.874164692,1.4638828
90,131210.874164848,1.4638255
90,131211.874165005,1.4638828
90,131212.874165161,1.4639019
90,131213.874165318,1.4638445
90,131214.874165474,1.46373
90,131215.874165631,1.4637872
90,131216.874165787,1.4639019
90,131217.874165944,1.4638636
90,131218.8741661,1.4638636
90,131219.874166256,1.4638255
90,131220.874166413,1.46394
90,131221.874166569,1.4638445
90,131222.874166726,1.4638445
90,131223.874166882,1.463921
90,131224.874167039,1.4638636
90,131225.874167195,1.4638636
90,131226.874167352,1.4639019
90,131227.874167508,1.4637872
90,131228.874167665,1.4638445
90,131229.874167821,1.4638636
90,131230.874167978,1.4640164
90,131231.874168134,1.463921
90,131232.87416829,1.4639019
90,131233.874168447,1.4638445
90,131234.874168603,1.4639019
90,131235.87416876,1.4640355
90,131236.874168916,1.46394
90,131237.874169073,1.4638636
90,131238.874169229,1.4636917
90,131239.874169386,1.4639019
90,131240.874169542,1.4638445
90,131241.874169699,1.46394
90,131242.874169855,1.4639783
90,131243.874170012,1.4638828
90,131244.874170168,1.463921
90,131245.874170325,1.4640164
90,131246.874170481,1.46394
90,131247.874170637,1.4639974
90,131248.874170794,1.463921
90,131249.87417095,1.4640355
90,131250.874171107,1.4640355
90,131251.874171263,1.463921
90,131252.87417142,1.4638828
90,131253.874171576,1.463921
90,131254.874171733,1.4638828
90,131255.874171889,1.463921
90,131256.874172046,1.4641119
90,131257.874172202,1.4639591
90,131258.874172359,1.4639974
90,131259.874172515,1.463921
90,131260.874172671,1.4639783
90,131261.874172828,1.4641693
90,131262.874172984,1.4640164
90,131263.874173141,1.4639974
90,131264.874173297,1.4640738
90,131265.874173454,1.4640547
90,131266.87417361,1.4638828
90,131267.874173767,1.46394
90,131268.874173923,1.4641119
90,131269.87417408,1.4639591
90,131270.874174236,1.4640164
90,131271.874174392,1.4640738
90,131272.874174549,1.4640164
90,131273.874174706,1.4640738
90,131274.874174862,1.4639591
90,131275.874175018,1.4640164
90,131276.874175175,1.4640547
90,131277.874175331,1.4640547
90,131278.874175488,1.4640738
90,131279.874175644,1.4638636
90,131280.874175801,1.4640929
90,131281.874175957,1.4641311
90,131282.874176114,1.4640738
90,131283.87417627,1.46394
90,131284.874176427,1.4639591
90,131285.874176583,1.4640738
90,131286.87417674,1.4640929
90,131287.874176896,1.4640164
90,131288.874177052,1.4642457
90,131289.874177209,1.4640547
90,131290.874177365,1.4640547
90,131291.874177522,1.4640738
90,131292.874177678,1.4640929
90,131293.874177835,1.4640929
90,131294.874177991,1.4640929
90,131295.874178148,1.4640547
90,131296.874178304,1.4639974
90,131297.874178461,1.4639974
90,131298.874178617,1.4640355
90,131299.874178773,1.4639591
90,131300.87417893,1.4641119
90,131301.874179086,1.4640547
90,131302.874179243,1.4640738
90,131303.874179399,1.4641883
90,131304.874179556,1.4640164
90,131305.874179712,1.4640547
90,131306.874179869,1.4640355
90,131307.874180025,1.4642075
90,131308.874180182,1.4641311
90,131309.874180338,1.4640547
90,131310.874180495,1.4641502
90,131311.874180651,1.4640929
90,131312.874180807,1.4640355
90,131313.874180964,1.4641693
90,131314.87418112,1.4641119
90,131315.874181277,1.4641693
90,131316.874181433,1.4640929
90,131317.87418159,1.4639974
90,131318.874181746,1.4641119
90,131319.874181903,1.4639974
90,131320.874182059,1.4641502
90,131321.874182216,1.4641311
90,131322.874182372,1.4641693
90,131323.874182529,1.4640355
90,131324.874182685,1.4641119
90,131325.874182842,1.4641693
90,131326.874182998,1.4641119
90,131327.874183154,1.4641883
90,131328.874183311,1.4641119
90,131329.874183467,1.4641693
90,131330.874183624,1.4641502
90,131331.87418378,1.4641883
90,131332.874183937,1.4641883
90,131333.874184093,1.4642075
90,131334.87418425,1.4641502
90,131335.874184406,1.4641693
90,131336.874184563,1.4641693
90,131337.874184719,1.4641693
90,131338.874184875,1.4641119
90,131339.874185032,1.4642457
90,131340.874185188,1.4642075
90,131341.874185345,1.4641502
90,131342.874185501,1.4641502
90,131343.874185658,1.4642457
90,131344.874185814,1.4642075
90,131345.874185971,1.4640547
90,131346.874186127,1.4641311
90,131347.874186284,1.4641119
90,131348.87418644,1.4642266
90,131349.874186597,1.4641883
90,131350.874186753,1.4642839
90,131351.874186909,1.4642457
90,131352.874187066,1.4642266
90,131353.874187222,1.4642839
90,131354.874187379,1.4642266
90,131355.874187535,1.4641502
90,131356.874187691,1.4643412
90,131357.874187848,1.4642075
90,131358.874188004,1.4641502
90,131359.874188161,1.4642839
90,131360.874188317,1.4642457
90,131361.874188474,1.4642266
90,131362.87418863,1.4642075
90,131363.874188787,1.4643985
90,131364.874188943,1.4642266
90,131365.8741891,1.4642266
90,131366.874189256,1.4642457
90,131367.874189413,1.4644749
90,131368.874189569,1.4640929
90,131369.874189725,1.4643604
90,131370.874189882,1.4643221
90,131371.874190038,1.4641693
90,131372.874190195,1.4642648
90,131373.874190351,1.464303
90,131374.874190508,1.4642839
90,131375.874190664,1.4643412
90,131376.874190821,1.4643794
90,131377.874190977,1.4643221
90,131378.874191134,1.4642075
90,131379.87419129,1.4643412
90,131380.874191446,1.4642648
90,131381.874191603,1.464303
90,131382.874191759,1.4642648
90,131383.874191916,1.4642648
90,131384.874192072,1.464303
90,131385.874192229,1.4642648
90,131386.874192385,1.4644176
90,131387.874192542,1.4642075
90,131388.874192698,1.4642648
90,131389.874192855,1.4643412
90,131390.874193011,1.4642266
90,131391.874193167,1.4642839
90,131392.874193324,1.4641502
90,131393.874193481,1.4643604
90,131394.874193637,1.4643221
90,131395.874193793,1.4644176
90,131396.87419395,1.4643794
90,131397.874194106,1.4643412
90,131398.874194263,1.4644176
90,131399.874194419,1.4642266
90,131400.874194576,1.4643985
90,131401.874194732,1.4642839
90,131402.874194889,1.4643221
90,131403.874195045,1.4644558
90,131404.874195202,1.4643604
90,131405.874195358,1.4643412
90,131406.874195515,1.4643794
90,131407.874195671,1.464303
90,131408.874195827,1.4643794
90,131409.874195984,1.464303
90,131410.87419614,1.4643985
90,131411.874196297,1.4643985
90,131412.874196453,1.4643985
90,131413.87419661,1.4641883
90,131414.874196766,1.4643604
90,131415.874196923,1.4644749
90,131416.874197079,1.4643412
90,131417.874197236,1.4643604
90,131418.874197392,1.4644176
90,131419.874197548,1.4642648
90,131420.874197705,1.4642457
90,131421.874197861,1.4642457
90,131422.874198018,1.4643794
90,131423.874198174,1.4643985
90,131424.874198331,1.4643412
90,131425.874198487,1.4643604
90,131426.874198644,1.4643604
90,131427.8741988,1.4643412
90,131428.874198957,1.4643221
90,131429.874199113,1.4642457
90,131430.87419927,1.4643412
90,131431.874199426,1.4644558
90,131432.874199582,1.4643221
90,131433.874199739,1.4643604
90,131434.874199895,1.4642839
90,131435.874200052,1.464303
90,131436.874200208,1.4644176
90,131437.874200365,1.4643412
90,131438.874200521,1.4644558
90,131439.874200678,1.4643794
90,131440.874200834,1.4643412
90,131441.874200991,1.4643221
90,131442.874201147,1.4644368
90,131443.874201304,1.4643985
90,131444.87420146,1.4644558
90,131445.874201617,1.4643985
90,131446.874201773,1.4643412
90,131447.874201929,1.4644558
90,131448.874202086,1.4643794
90,131449.874202242,1.4644176
90,131450.874202399,1.464303
90,131451.874202555,1.4643794
90,131452.874202712,1.4645323
90,131453.874202868,1.4645132
90,131454.874203025,1.4643985
90,131455.874203181,1.4644749
90,131456.874203338,1.4643794
90,131457.874203494,1.464494
90,131458.874203651,1.4643604
90,131459.874203807,1.4645132
90,131460.874203963,1.464303
90,131461.87420412,1.4646087
90,131462.874204276,1.464303
90,131463.874204433,1.4644558
90,131464.874204589,1.464303
90,131465.874204746,1.4644176
90,131466.874204902,1.4644558
90,131467.874205059,1.464494
90,131468.874205215,1.4643604
90,131469.874205372,1.4645323
90,131470.874205528,1.464494
90,131471.874205684,1.464494
90,131472.874205841,1.4643794
90,131473.874205997,1.4646277
90,131474.874206154,1.4643221
90,131475.87420631,1.4644176
90,131476.874206467,1.4645323
90,131477.874206623,1.4644749
90,131478.87420678,1.4644368
90,131479.874206936,1.464494
90,131480.874207093,1.4645132
90,131481.874207249,1.4644368
90,131482.874207406,1.4646277
90,131483.874207562,1.4645323
90,131484.874207719,1.4643604
90,131485.874207875,1.4644558
90,131486.874208032,1.4644368
90,131487.874208188,1.4644176
90,131488.874208344,1.4644749
90,131489.874208501,1.4645323
90,131490.874208657,1.4644749
90,131491.874208814,1.464494
90,131492.87420897,1.4645132
90,131493.874209127,1.4645132
90,131494.874209283,1.4644558
90,131495.87420944,1.4644368
90,131496.874209596,1.4645132
90,131497.874209753,1.4645896
90,131498.874209909,1.464494
90,131499.874210065,1.4645513
90,131500.874210222,1.4644368
90,131501.874210378,1.4644749
90,131502.874210535,1.4644558
90,131503.874210691,1.4645704
90,131504.874210848,1.4645704
90,131505.874211004,1.4644558
90,131506.874211161,1.4646277
90,131507.874211317,1.4643985
90,131508.874211474,1.4646087
90,131509.87421163,1.4646087
90,131510.874211786,1.4644368
90,131511.874211943,1.464494
90,131512.8742121,1.4645704
90,131513.874212256,1.4645132
90,131514.874212412,1.4644749
90,131515.874212569,1.4644558
90,131516.874212725,1.4645704
90,131517.874212882,1.4644749
90,131518.874213038,1.4645323
90,131519.874213195,1.4643794
90,131520.874213351,1.464666
90,131521.874213508,1.4645323
90,131522.874213664,1.4645704
90,131523.874213821,1.4646277
90,131524.874213977,1.4646087
90,131525.874214134,1.4645513
90,131526.87421429,1.4643604
90,131527.874214446,1.4645323
90,131528.874214603,1.4645704
90,131529.874214759,1.4647042
90,131530.874214916,1.4645323
90,131531.874215072,1.4645896
90,131532.874215229,1.464666
90,131533.874215385,1.4646468
90,131534.874215542,1.4645513
90,131535.874215698,1.4646087
90,131536.874215855,1.4646277
90,131537.874216011,1.4645704
90,131538.874216167,1.4645132
90,131539.874216324,1.464494
90,131540.87421648,1.4645896
90,131541.874216637,1.4646851
90,131542.874216793,1.4646468
90,131543.87421695,1.4646087
90,131544.874217106,1.4646277
90,131545.874217263,1.4647424
90,131546.874217419,1.4645896
90,131547.874217576,1.4644749
90,131548.874217732,1.4647232
90,131549.874217889,1.464666
90,131550.874218045,1.4646468
90,131551.874218201,1.464666
90,131552.874218358,1.4645896
90,131553.874218514,1.4645896
90,131554.874218671,1.4645896
90,131555.874218827,1.4646468
90,131556.874218984,1.4647042
90,131557.87421914,1.4645323
90,131558.874219297,1.4645513
90,131559.874219453,1.4644749
90,131560.87421961,1.4646277
90,131561.874219766,1.4645132
90,131562.874219923,1.4646087
90,131563.874220079,1.4646277
90,131564.874220236,1.4647042
90,131565.874220392,1.4646277
90,131566.874220548,1.4647232
90,131567.874220705,1.4646468
90,131568.874220861,1.4647042
90,131569.874221018,1.464666
90,131570.874221174,1.4647042
90,131571.874221331,1.464666
90,131572.874221487,1.4647232
90,131573.874221644,1.4644176
90,131574.8742218,1.4646277
90,131575.874221957,1.4647232
90,131576.874222113,1.4647042
90,131577.874222269,1.4645896
90,131578.874222426,1.4646468
90,131579.874222582,1.4647615
90,131580.874222739,1.4646468
90,131581.874222895,1.4647232
90,131582.874223052,1.4646277
90,131583.874223208,1.4647042
90,131584.874223365,1.464666
90,131585.874223521,1.4645513
90,131586.874223678,1.4647806
90,131587.874223834,1.4646468
90,131588.874223991,1.4647232
90,131589.874224147,1.4647042
90,131590.874224303,1.4646468
90,131591.87422446,1.4645896
90,131592.874224616,1.4647042
90,131593.874224773,1.4647424
90,131594.874224929,1.4647424
90,131595.874225086,1.4647424
90,131596.874225242,1.4647615
90,131597.874225399,1.4646468
90,131598.874225555,1.4645704
90,131599.874225712,1.4647806
90,131600.874225868,1.464666
90,131601.874226025,1.464666
90,131602.874226181,1.4648379
90,131603.874226338,1.4647232
90,131604.874226494,1.4648188
90,131605.874226651,1.464666
90,131606.874226807,1.4647232
90,131607.874226963,1.4646468
90,131608.87422712,1.4647806
90,131609.874227276,1.4647424
90,131610.874227433,1.464666
90,131611.874227589,1.4646468
90,131612.874227746,1.4647424
90,131613.874227902,1.4647996
90,131614.874228059,1.4647806
90,131615.874228215,1.4647232
90,131616.874228372,1.4647232
90,131617.874228528,1.4647424
90,131618.874228684,1.464666
90,131619.874228841,1.4646851
90,131620.874228997,1.4645896
90,131621.874229154,1.4646468
90,131622.87422931,1.4647996
90,131623.874229467,1.4647806
90,131624.874229623,1.464666
90,131625.87422978,1.4648188
90,131626.874229936,1.4647615
90,131627.874230093,1.4648379
90,131628.874230249,1.4647232
90,131629.874230405,1.4647806
90,131630.874230562,1.464666
90,131631.874230719,1.4647615
90,131632.874230875,1.4649143
90,131633.874231031,1.4647042
90,131634.874231188,1.4647806
90,131635.874231344,1.4647806
90,131636.874231501,1.4647615
90,131637.874231657,1.4647424
90,131638.874231814,1.4647806
90,131639.87423197,1.4648188
90,131640.874232127,1.4647042
90,131641.874232283,1.4647424
90,131642.87423244,1.4646851
90,131643.874232596,1.4647042
90,131644.874232753,1.4649525
90,131645.874232909,1.4648188
90,131646.874233065,1.4648188
90,131647.874233222,1.4648379
90,131648.874233378,1.4647996
90,131649.874233535,1.4647996
90,131650.874233691,1.4646851
90,131651.874233848,1.464857
90,131652.874234004,1.4646468
90,131653.874234161,1.4647615
90,131654.874234317,1.4647232
90,131655.874234474,1.4648379
90,131656.87423463,1.4647232
90,131657.874234786,1.4647806
90,131658.874234943,1.4647996
90,131659.874235099,1.4647996
90,131660.874235256,1.4645704
90,131661.874235412,1.4647806
90,131662.874235569,1.4648188
90,131663.874235725,1.464857
90,131664.874235882,1.464857
90,131665.874236038,1.4647996
90,131666.874236195,1.4647996
90,131667.874236351,1.4649334
90,131668.874236508,1.4647042
90,131669.874236664,1.464857
90,131670.87423682,1.4648379
90,131671.874236977,1.464857
90,131672.874237133,1.4648952
90,131673.87423729,1.4647615
90,131674.874237446,1.464857
90,131675.874237603,1.4648188
90,131676.874237759,1.4648952
90,131677.874237916,1.4647806
90,131678.874238072,1.4648379
90,131679.874238229,1.4648379
90,131680.874238385,1.4647232
90,131681.874238542,1.4648952
90,131682.874238698,1.4648952
90,131683.874238855,1.4647042
90,131684.874239011,1.4648761
90,131685.874239167,1.464666
90,131686.874239324,1.4648952
90,131687.87423948,1.4648952
90,131688.874239637,1.4648761
90,131689.874239793,1.4648952
90,131690.87423995,1.4649143
90,131691.874240106,1.4647996
90,131692.874240263,1.4648761
90,131693.874240419,1.4648952
90,131694.874240576,1.4648379
90,131695.874240732,1.4648188
90,131696.874240888,1.4648379
90,131697.874241045,1.4649334
90,131698.874241201,1.4648188
90,131699.874241358,1.464857
90,131700.874241514,1.4648379
90,131701.874241671,1.4648761
90,131702.874241827,1.4649143
90,131703.874241984,1.4649143
90,131704.87424214,1.464857
90,131705.874242297,1.4648188
90,131706.874242453,1.4647996
90,131707.87424261,1.4648188
90,131708.874242766,1.464857
90,131709.874242922,1.4649334
90,131710.874243079,1.4648952
90,131711.874243235,1.4649334
90,131712.874243392,1.4649143
90,131713.874243548,1.4649525
90,131714.874243705,1.4647806
90,131715.874243861,1.4647996
90,131716.874244018,1.4649143
90,131717.874244174,1.4647615
90,131718.874244331,1.464857
90,131719.874244487,1.4649143
90,131720.874244644,1.4649525
90,131721.8742448,1.4649717
90,131722.874244957,1.4649525
90,131723.874245113,1.4649717
90,131724.874245269,1.4649717
90,131725.874245426,1.4649717
90,131726.874245582,1.4649143
90,131727.874245739,1.4648952
90,131728.874245895,1.4649907
90,131729.874246052,1.4648952
90,131730.874246208,1.4650481
90,131731.874246365,1.4650289
90,131732.874246521,1.4650481
90,131733.874246678,1.4649143
90,131734.874246834,1.4648952
90,131735.874246991,1.4649907
90,131736.874247147,1.4648379
90,131737.874247304,1.4650289
90,131738.87424746,1.4648952
90,131739.874247617,1.4648952
90,131740.874247773,1.4649907
90,131741.874247929,1.4648379
90,131742.874248086,1.4650671
90,131743.874248242,1.4648379
90,131744.874248399,1.4650098
90,131745.874248555,1.4648952
90,131746.874248712,1.4649334
90,131747.874248868,1.4651053
90,131748.874249025,1.4649525
90,131749.874249181,1.464857
90,131750.874249338,1.4651436
90,131751.874249494,1.4649717
90,131752.87424965,1.4649334
90,131753.874249807,1.4649334
90,131754.874249963,1.4649143
90,131755.87425012,1.4649717
90,131756.874250276,1.4649907
90,131757.874250433,1.4650098
90,131758.874250589,1.4648761
90,131759.874250746,1.4650289
90,131760.874250902,1.4650289
90,131761.874251059,1.4649143
90,131762.874251215,1.4650098
90,131763.874251372,1.4650289
90,131764.874251528,1.4649143
90,131765.874251684,1.4650481
90,131766.874251841,1.4650289
90,131767.874251997,1.4649907
90,131768.874252154,1.4649525
90,131769.87425231,1.4649907
90,131770.874252467,1.4648952
90,131771.874252623,1.4648952
90,131772.87425278,1.4650289
90,131773.874252936,1.464857
90,131774.874253093,1.4649717
90,131775.874253249,1.4650481
90,131776.874253406,1.4650862
90,131777.874253562,1.4649717
90,131778.874253719,1.4649717
90,131779.874253875,1.4650098
90,131780.874254032,1.4650671
90,131781.874254188,1.4650289
90,131782.874254344,1.4649334
90,131783.874254501,1.4650289
90,131784.874254657,1.4649717
90,131785.874254814,1.4650862
90,131786.87425497,1.4651626
90,131787.874255127,1.4649717
90,131788.874255283,1.4649907
90,131789.87425544,1.4649907
90,131790.874255596,1.4650481
90,131791.874255753,1.4650289
90,131792.874255909,1.4650098
90,131793.874256065,1.4649525
90,131794.874256222,1.4649717
90,131795.874256378,1.4650862
90,131796.874256535,1.4649334
90,131797.874256691,1.4650289
90,131798.874256848,1.4649717
90,131799.874257004,1.4649525
90,131800.874257161,1.4650671
90,131801.874257317,1.4649907
90,131802.874257474,1.4650098
90,131803.87425763,1.4650481
90,131804.874257786,1.4650862
90,131805.874257943,1.4649907
90,131806.8742581,1.4648761
90,131807.874258256,1.4649907
90,131808.874258412,1.4649907
90,131809.874258569,1.4650289
90,131810.874258725,1.4650481
90,131811.874258882,1.4649334
90,131812.874259038,1.4651626
90,131813.874259195,1.4651626
90,131814.874259351,1.4650481
90,131815.874259508,1.4650481
90,131816.874259664,1.4652009
90,131817.874259821,1.4651245
90,131818.874259977,1.4651436
90,131819.874260134,1.4651436
90,131820.87426029,1.4651436
90,131821.874260446,1.4651436
90,131822.874260603,1.4650481
90,131823.874260759,1.4651626
90,131824.874260916,1.4650671
90,131825.874261072,1.4651436
90,131826.874261229,1.4650671
90,131827.874261385,1.4650098
90,131828.874261542,1.4650671
90,131829.874261698,1.4649907
90,131830.874261855,1.4650862
90,131831.874262011,1.4650481
90,131832.874262167,1.4650481
90,131833.874262324,1.4651626
90,131834.87426248,1.4649525
90,131835.874262637,1.4651817
90,131836.874262793,1.4649907
90,131837.87426295,1.4651817
90,131838.874263106,1.4651053
90,131839.874263263,1.4651053
90,131840.874263419,1.4650862
90,131841.874263576,1.4651626
90,131842.874263732,1.4651436
90,131843.874263889,1.4651053
90,131844.874264045,1.4651245
90,131845.874264201,1.4651626
90,131846.874264358,1.4650481
90,131847.874264514,1.4650481
90,131848.874264671,1.4649907
90,131849.874264827,1.4651245
90,131850.874264984,1.4651436
90,131851.87426514,1.46522
90,131852.874265297,1.4650098
90,131853.874265453,1.4650481
90,131854.87426561,1.4651245
90,131855.874265766,1.4651245
90,131856.874265923,1.4652773
90,131857.874266079,1.4649334
90,131858.874266236,1.4651817
90,131859.874266392,1.4649907
90,131860.874266548,1.4650862
90,131861.874266705,1.4651053
90,131862.874266861,1.4650862
90,131863.874267018,1.4651436
90,131864.874267174,1.4651053
90,131865.874267331,1.4651053
90,131866.874267487,1.4652581
90,131867.874267644,1.4652009
90,131868.8742678,1.465239
90,131869.874267957,1.4652581
90,131870.874268113,1.4651626
90,131871.874268269,1.4651053
90,131872.874268426,1.4651436
