SOC [%],Time [s],Voltage [V]
30,939228.906427562,1.2493415
30,939228.956827506,1.2504101
30,939229.956826285,1.2523183
30,939230.956825063,1.2527953
30,939231.956823841,1.252967
30,939232.956822619,1.2531579
30,939233.956821397,1.2532532
30,939234.956820175,1.2534059
30,939235.956818953,1.2535777
30,939236.956817731,1.2534059
30,939237.956816509,1.2535204
30,939238.956815287,1.253654
30,939239.956814066,1.2535204
30,939240.956812844,1.2538639
30,939241.956811622,1.2537684
30,939242.9568104,1.2538449
30,939243.956809178,1.2538067
30,939244.956807956,1.2538067
30,939245.956806734,1.2539974
30,939246.956805512,1.2539212
30,939247.95680429,1.2539784
30,939248.956803069,1.2539402
30,939249.956801847,1.2540739
30,939250.956800625,1.254112
30,939251.956799403,1.2541311
30,939252.956798181,1.2540929
30,939253.956796959,1.2542074
30,939254.956795737,1.2539974
30,939255.956794515,1.2542455
30,939256.956793293,1.2541502
30,939257.956792071,1.2542264
30,939258.95679085,1.2542455
30,939259.956789628,1.2542837
30,939260.956788406,1.2541311
30,939261.956787184,1.2543601
30,939262.956785962,1.2543601
30,939263.95678474,1.254341
30,939264.956783518,1.2542837
30,939265.956782296,1.254341
30,939266.956781074,1.2545317
30,939267.956779853,1.2543792
30,939268.956778631,1.2545508
30,939269.956777409,1.2544936
30,939270.956776187,1.2544936
30,939271.956774965,1.2545317
30,939272.956773743,1.2545127
30,939273.956772521,1.2545127
30,939274.956771299,1.2546272
30,939275.956770077,1.2545699
30,939276.956768855,1.2545699
30,939277.956767634,1.2545891
30,939278.956766412,1.2546272
30,939279.95676519,1.2545127
30,939280.956763968,1.2546082
30,939281.956762746,1.2545699
30,939282.956761524,1.2546654
30,939283.956760302,1.2547226
30,939284.95675908,1.2547226
30,939285.956757858,1.2546844
30,939286.956756637,1.2545699
30,939287.956755415,1.2547417
30,939288.956754193,1.254818
30,939289.956752971,1.2547798
30,939290.956751749,1.254837
30,939291.956750527,1.2547226
30,939292.956749305,1.254837
30,939293.956748083,1.2547417
30,939294.956746861,1.2547798
30,939295.956745639,1.254818
30,939296.956744418,1.2548562
30,939297.956743196,1.254818
30,939298.956741974,1.254818
30,939299.956740752,1.2549134
30,939300.95673953,1.2549897
30,939301.956738308,1.2547798
30,939302.956737086,1.2550088
30,939303.956735864,1.2548753
30,939304.956734642,1.2548753
30,939305.95673342,1.2548753
30,939306.956732199,1.2549325
30,939307.956730977,1.2550279
30,939308.956729755,1.2549134
30,939309.956728533,1.2550851
30,939310.956727311,1.2551234
30,939311.956726089,1.255066
30,939312.956724867,1.255047
30,939313.956723645,1.2549897
30,939314.956722423,1.2550088
30,939315.956721202,1.2551615
30,939316.95671998,1.2551234
30,939317.956718758,1.2551043
30,939318.956717536,1.2550851
30,939319.956716314,1.2550851
30,939320.956715092,1.2551806
30,939321.95671387,1.2551234
30,939322.956712648,1.2551234
30,939323.956711426,1.2551806
30,939324.956710204,1.255295
30,939325.956708983,1.2551806
30,939326.956707761,1.2551234
30,939327.956706539,1.2551615
30,939328.956705317,1.2551615
30,939329.956704095,1.2551997
30,939330.956702873,1.2551615
30,939331.956701651,1.2552378
30,939332.956700429,1.2552187
30,939333.956699207,1.2553141
30,939334.956697986,1.255276
30,939335.956696764,1.2553141
30,939336.956695542,1.2551615
30,939337.95669432,1.2553523
30,939338.956693098,1.2553141
30,939339.956691876,1.2552569
30,939340.956690654,1.2552187
30,939341.956689432,1.2553715
30,939342.95668821,1.2554287
30,939343.956686988,1.255295
30,939344.956685767,1.2554287
30,939345.956684545,1.2554287
30,939346.956683323,1.2554477
30,939347.956682101,1.2553715
30,939348.956680879,1.2554096
30,939349.956679657,1.2553905
30,939350.956678435,1.2554096
30,939351.956677213,1.2553905
30,939352.956675991,1.2554477
30,939353.95667477,1.2553715
30,939354.956673548,1.2554096
30,939355.956672326,1.2553332
30,939356.956671104,1.255524
30,939357.956669882,1.2554096
30,939358.95666866,1.2555622
30,939359.956667438,1.2554668
30,939360.956666216,1.2554477
30,939361.956664994,1.2555431
30,939362.956663772,1.2556003
30,939363.956662551,1.255505
30,939364.956661329,1.2555431
30,939365.956660107,1.2556003
30,939366.956658885,1.255505
30,939367.956657663,1.2556194
30,939368.956656441,1.2555622
30,939369.956655219,1.2556194
30,939370.956653997,1.2556003
30,939371.956652775,1.2556003
30,939372.956651554,1.2555431
30,939373.956650332,1.2556767
30,939374.95664911,1.255734
30,939375.956647888,1.2556194
30,939376.956646666,1.2556577
30,939377.956645444,1.2556194
30,939378.956644222,1.2557149
30,939379.956643,1.2556386
30,939380.956641778,1.2556577
30,939381.956640556,1.2556386
30,939382.956639335,1.2556003
30,939383.956638113,1.2556194
30,939384.956636891,1.2555813
30,939385.956635669,1.2558675
30,939386.956634447,1.2556194
30,939387.956633225,1.2557912
30,939388.956632003,1.255734
30,939389.956630781,1.2557912
30,939390.956629559,1.255734
30,939391.956628338,1.2558484
30,939392.956627116,1.255734
30,939393.956625894,1.255734
30,939394.956624672,1.2557912
30,939395.95662345,1.2558103
30,939396.956622228,1.2559248
30,939397.956621006,1.2557912
30,939398.956619784,1.255734
30,939399.956618562,1.2558484
30,939400.95661734,1.2558103
30,939401.956616119,1.2559057
30,939402.956614897,1.2558293
30,939403.956613675,1.2558866
30,939404.956612453,1.2557912
30,939405.956611231,1.255734
30,939406.956610009,1.2559057
30,939407.956608787,1.2557721
30,939408.956607565,1.2560011
30,939409.956606343,1.2559439
30,939410.956605121,1.2558484
30,939411.9566039,1.2559248
30,939412.956602678,1.2558866
30,939413.956601456,1.2558484
30,939414.956600234,1.2558866
30,939415.956599012,1.2558866
30,939416.95659779,1.2559248
30,939417.956596568,1.255963
30,939418.956595346,1.2559057
30,939419.956594124,1.255982
30,939420.956592903,1.2561346
30,939421.956591681,1.2559248
30,939422.956590459,1.2558484
30,939423.956589237,1.2559057
30,939424.956588015,1.2560202
30,939425.956586793,1.2558293
30,939426.956585571,1.2559248
30,939427.956584349,1.2559248
30,939428.956583127,1.2560583
30,939429.956581905,1.2560393
30,939430.956580684,1.2558866
30,939431.956579462,1.2561537
30,939432.95657824,1.2560583
30,939433.956577018,1.255963
30,939434.956575796,1.2560393
30,939435.956574574,1.2560202
30,939436.956573352,1.2560583
30,939437.95657213,1.2561346
30,939438.956570908,1.2561156
30,939439.956569687,1.2560202
30,939440.956568465,1.2561729
30,939441.956567243,1.2561537
30,939442.956566021,1.2561537
30,939443.956564799,1.2560774
30,939444.956563577,1.256211
30,939445.956562355,1.256192
30,939446.956561133,1.2560393
30,939447.956559911,1.256192
30,939448.956558689,1.2561729
30,939449.956557468,1.2562683
30,939450.956556246,1.2560583
30,939451.956555024,1.2561346
30,939452.956553802,1.256192
30,939453.95655258,1.2561537
30,939454.956551358,1.2562492
30,939455.956550136,1.2560583
30,939456.956548914,1.256192
30,939457.956547692,1.2561729
30,939458.956546471,1.2561346
30,939459.956545249,1.256192
30,939460.956544027,1.2561156
30,939461.956542805,1.2562873
30,939462.956541583,1.256211
30,939463.956540361,1.2562492
30,939464.956539139,1.2562301
30,939465.956537917,1.2563064
30,939466.956536695,1.2563064
30,939467.956535473,1.2562873
30,939468.956534252,1.2563827
30,939469.95653303,1.2562301
30,939470.956531808,1.2563446
30,939471.956530586,1.2563446
30,939472.956529364,1.256211
30,939473.956528142,1.2563255
30,939474.95652692,1.2562683
30,939475.956525698,1.2563827
30,939476.956524476,1.2562873
30,939477.956523255,1.256211
30,939478.956522033,1.2563636
30,939479.956520811,1.256421
30,939480.956519589,1.2562873
30,939481.956518367,1.2562301
30,939482.956517145,1.2563636
30,939483.956515923,1.2563827
30,939484.956514701,1.2563064
30,939485.956513479,1.256421
30,939486.956512257,1.2564782
30,939487.956511036,1.2563827
30,939488.956509814,1.2563827
30,939489.956508592,1.2564018
30,939490.95650737,1.2563255
30,939491.956506148,1.2563827
30,939492.956504926,1.256421
30,939493.956503704,1.2565354
30,939494.956502482,1.2563446
30,939495.95650126,1.2565545
