SOC [%],Time [s],Voltage [V]
40,804511.524998706,1.2914039
40,804511.57539865,1.2924534
40,804512.575397428,1.2938845
40,804513.575396206,1.2941326
40,804514.575394984,1.2944188
40,804515.575393762,1.294457
40,804516.575392541,1.2945524
40,804517.575391319,1.294686
40,804518.575390097,1.2946478
40,804519.575388875,1.2946669
40,804520.575387653,1.2948196
40,804521.575386431,1.2948196
40,804522.575385209,1.2948959
40,804523.575383987,1.2950103
40,804524.575382765,1.2950677
40,804525.575381543,1.2949913
40,804526.575380322,1.2950486
40,804527.5753791,1.2950486
40,804528.575377878,1.2949913
40,804529.575376656,1.2950295
40,804530.575375434,1.2951249
40,804531.575374212,1.2952012
40,804532.57537299,1.2952012
40,804533.575371768,1.295144
40,804534.575370546,1.2952393
40,804535.575369325,1.2952012
40,804536.575368103,1.2952967
40,804537.575366881,1.2953539
40,804538.575365659,1.2954111
40,804539.575364437,1.2954111
40,804540.575363215,1.295392
40,804541.575361993,1.2953539
40,804542.575360771,1.2954683
40,804543.575359549,1.2953539
40,804544.575358327,1.2954111
40,804545.575357106,1.295373
40,804546.575355884,1.2955446
40,804547.575354662,1.2954493
40,804548.57535344,1.2954874
40,804549.575352218,1.2954302
40,804550.575350996,1.2955256
40,804551.575349774,1.2954302
40,804552.575348552,1.2955829
40,804553.57534733,1.2955446
40,804554.575346109,1.2955446
40,804555.575344887,1.2956592
40,804556.575343665,1.2955065
40,804557.575342443,1.2955829
40,804558.575341221,1.295602
40,804559.575339999,1.295621
40,804560.575338777,1.2957546
40,804561.575337555,1.2955829
40,804562.575336333,1.2957736
40,804563.575335111,1.2957546
40,804564.57533389,1.2958119
40,804565.575332668,1.2957546
40,804566.575331446,1.2956783
40,804567.575330224,1.2956592
40,804568.575329002,1.2957355
40,804569.57532778,1.2957736
40,804570.575326558,1.295831
40,804571.575325336,1.2957927
40,804572.575324114,1.2956973
40,804573.575322893,1.2956973
40,804574.575321671,1.2957736
40,804575.575320449,1.2957736
40,804576.575319227,1.2958882
40,804577.575318005,1.2957736
40,804578.575316783,1.2957546
40,804579.575315561,1.2959454
40,804580.575314339,1.2958882
40,804581.575313117,1.295831
40,804582.575311895,1.2959454
40,804583.575310674,1.2959073
40,804584.575309452,1.2959263
40,804585.57530823,1.2960598
40,804586.575307008,1.2960408
40,804587.575305786,1.2959073
40,804588.575304564,1.2959645
40,804589.575303342,1.2960981
40,804590.57530212,1.2959645
40,804591.575300898,1.2959263
40,804592.575299677,1.2960026
40,804593.575298455,1.2960026
40,804594.575297233,1.2960408
40,804595.575296011,1.2960981
40,804596.575294789,1.2960217
40,804597.575293567,1.2960217
40,804598.575292345,1.2960217
40,804599.575291123,1.2959836
40,804600.575289901,1.2961172
40,804601.575288679,1.2961553
40,804602.575287458,1.2961553
40,804603.575286236,1.2961363
40,804604.575285014,1.2960981
40,804605.575283792,1.2960981
40,804606.57528257,1.2961935
40,804607.575281348,1.2961172
40,804608.575280126,1.2960981
40,804609.575278904,1.2961744
40,804610.575277682,1.2961935
40,804611.57527646,1.2961744
40,804612.575275239,1.2961935
40,804613.575274017,1.2962888
40,804614.575272795,1.2962888
40,804615.575271573,1.2962126
40,804616.575270351,1.2961172
40,804617.575269129,1.2961172
40,804618.575267907,1.2963462
40,804619.575266685,1.2961553
40,804620.575265463,1.2962507
40,804621.575264242,1.2962316
40,804622.57526302,1.2961744
40,804623.575261798,1.2963079
40,804624.575260576,1.2961172
40,804625.575259354,1.2963079
40,804626.575258132,1.2962698
40,804627.57525691,1.2962126
40,804628.575255688,1.2962888
40,804629.575254466,1.2962126
40,804630.575253244,1.2963462
