SOC [%],Time [s],Voltage [V]
50,669397.834053915,1.3217615
50,669397.884453859,1.322602
50,669398.884452637,1.3236718
50,669399.884451415,1.3240157
50,669400.884450193,1.3241876
50,669401.884448972,1.3241876
50,669402.88444775,1.3243214
50,669403.884446528,1.3243978
50,669404.884445306,1.3244169
50,669405.884444084,1.3244551
50,669406.884442862,1.3245697
50,669407.88444164,1.3245506
50,669408.884440418,1.3244359
50,669409.884439196,1.3247225
50,669410.884437975,1.3246461
50,669411.884436753,1.3246652
50,669412.884435531,1.3245888
50,669413.884434309,1.3247416
50,669414.884433087,1.3247416
50,669415.884431865,1.3249136
50,669416.884430643,1.3246652
50,669417.884429421,1.3248754
50,669418.884428199,1.3247989
50,669419.884426977,1.3247416
50,669420.884425756,1.3248754
50,669421.884424534,1.3246844
50,669422.884423312,1.3249708
50,669423.88442209,1.3247989
50,669424.884420868,1.3249136
50,669425.884419646,1.3248944
50,669426.884418424,1.32499
50,669427.884417202,1.32499
50,669428.88441598,1.3251046
50,669429.884414759,1.3250473
50,669430.884413537,1.3248754
50,669431.884412315,1.3250473
50,669432.884411093,1.3250091
50,669433.884409871,1.3250091
50,669434.884408649,1.3250855
50,669435.884407427,1.3250282
50,669436.884406205,1.3250282
50,669437.884404983,1.3250855
50,669438.884403761,1.3250855
50,669439.88440254,1.3252001
50,669440.884401318,1.32499
50,669441.884400096,1.3251237
50,669442.884398874,1.3252765
50,669443.884397652,1.3252193
50,669444.88439643,1.3252193
50,669445.884395208,1.3252193
50,669446.884393986,1.3252765
50,669447.884392764,1.3252001
50,669448.884391543,1.3251429
50,669449.884390321,1.3252574
50,669450.884389099,1.3253529
50,669451.884387877,1.3252765
50,669452.884386655,1.3251237
50,669453.884385433,1.3252765
50,669454.884384211,1.3252001
50,669455.884382989,1.3253721
50,669456.884381767,1.3253148
50,669457.884380545,1.3253721
50,669458.884379324,1.3253912
50,669459.884378102,1.3254293
50,669460.88437688,1.3254676
50,669461.884375658,1.3252765
50,669462.884374436,1.3253338
50,669463.884373214,1.3254102
50,669464.884371992,1.3254293
50,669465.88437077,1.3254293
50,669466.884369548,1.3253338
50,669467.884368327,1.3254485
50,669468.884367105,1.3254867
50,669469.884365883,1.3254867
50,669470.884364661,1.3254102
50,669471.884363439,1.3254102
50,669472.884362217,1.3255057
50,669473.884360995,1.3255249
50,669474.884359773,1.3254676
50,669475.884358551,1.3255057
50,669476.884357329,1.3254867
50,669477.884356108,1.3255631
50,669478.884354886,1.3255057
50,669479.884353664,1.325544
50,669480.884352442,1.3254867
50,669481.88435122,1.3255631
50,669482.884349998,1.3255057
50,669483.884348776,1.325544
50,669484.884347554,1.3256586
50,669485.884346332,1.3255821
50,669486.884345111,1.3255631
50,669487.884343889,1.3256778
50,669488.884342667,1.3256204
50,669489.884341445,1.3256395
50,669490.884340223,1.3255821
50,669491.884339001,1.3256968
50,669492.884337779,1.3256778
50,669493.884336557,1.3256013
50,669494.884335335,1.325544
50,669495.884334113,1.3256968
50,669496.884332892,1.3255631
50,669497.88433167,1.3256586
50,669498.884330448,1.3257159
50,669499.884329226,1.3256778
50,669500.884328004,1.3256778
50,669501.884326782,1.3257159
50,669502.88432556,1.3258497
50,669503.884324338,1.3256586
50,669504.884323116,1.3257923
50,669505.884321894,1.3256395
50,669506.884320673,1.3258306
50,669507.884319451,1.3257542
50,669508.884318229,1.3257732
50,669509.884317007,1.3256395
50,669510.884315785,1.3257732
50,669511.884314563,1.3257159
50,669512.884313341,1.325735
50,669513.884312119,1.3258114
50,669514.884310897,1.325735
50,669515.884309676,1.3257159
50,669516.884308454,1.3257159
50,669517.884307232,1.325735
50,669518.88430601,1.3257542
50,669519.884304788,1.3258306
50,669520.884303566,1.3257732
50,669521.884302344,1.3258878
50,669522.884301122,1.3257923
50,669523.8842999,1.3257732
50,669524.884298678,1.3259261
50,669525.884297457,1.325735
50,669526.884296235,1.3257542
50,669527.884295013,1.3257159
50,669528.884293791,1.3258306
50,669529.884292569,1.3258497
50,669530.884291347,1.3259261
50,669531.884290125,1.325907
50,669532.884288903,1.3258114
50,669533.884287681,1.3258114
50,669534.88428646,1.3258878
50,669535.884285238,1.3258687
50,669536.884284016,1.3258687
50,669537.884282794,1.3258687
50,669538.884281572,1.3259451
50,669539.88428035,1.3259451
50,669540.884279128,1.325907
50,669541.884277906,1.3259451
50,669542.884276684,1.325907
50,669543.884275462,1.3259261
50,669544.884274241,1.3259451
50,669545.884273019,1.3260025
50,669546.884271797,1.3259642
50,669547.884270575,1.3259451
50,669548.884269353,1.3258497
50,669549.884268131,1.3259642
50,669550.884266909,1.326098
50,669551.884265687,1.3260025
50,669552.884264465,1.3261362
50,669553.884263244,1.326098
50,669554.884262022,1.326098
50,669555.8842608,1.3260598
50,669556.884259578,1.326098
50,669557.884258356,1.3260216
50,669558.884257134,1.3259451
50,669559.884255912,1.3259834
50,669560.88425469,1.3259642
50,669561.884253468,1.3261935
50,669562.884252246,1.3260598
50,669563.884251025,1.326117
50,669564.884249803,1.326098
50,669565.884248581,1.326117
50,669566.884247359,1.3261362
50,669567.884246137,1.326098
50,669568.884244915,1.3260216
50,669569.884243693,1.3260406
50,669570.884242471,1.326117
50,669571.884241249,1.3262126
50,669572.884240028,1.326098
50,669573.884238806,1.3260598
50,669574.884237584,1.3260406
50,669575.884236362,1.3260406
50,669576.88423514,1.3261744
50,669577.884233918,1.326098
50,669578.884232696,1.3262126
